# JMP-table dispatch audit
# total sites: 1910
#
# Summary:
#   static_target           1795  (JMP with statically resolved target — safe)
#   in_function_switch         0  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register          19  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry          28    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table            67    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      1    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$0190DC  in func $0190D8  base $019222  kind=static_target
$019D20  in func $019D1A  base $019D24  kind=fallback_hybrid/function_entry
$01A784  in func $01A784  base $039266  kind=static_target
$01A93A  in func $01A930  base $01A93E  kind=fallback_hybrid/offset_table
$01AACE  in func $01AAC4  base $01AAD2  kind=fallback_hybrid/offset_table
$01AC6C  in func $01AC62  base $01AC70  kind=fallback_hybrid/offset_table
$01ACE4  in func $01ACDA  base $01ACE8  kind=fallback_hybrid/offset_table
$01AD0A  in func $01AD00  base $01AD0E  kind=fallback_hybrid/offset_table
$01ADBA  in func $01ADB0  base $01ADBE  kind=fallback_hybrid/offset_table
$01ADFC  in func $01ADF2  base $01AE00  kind=fallback_hybrid/offset_table
$01AE2E  in func $01AE24  base $01AE32  kind=fallback_hybrid/offset_table
$01B0EA  in func $01B0E2  base $019C12  kind=static_target
$01B112  in func $01B0F0  base $01924C  kind=static_target
$01B254  in func $01B24C  base $019C12  kind=static_target
$01B27C  in func $01B25A  base $01924C  kind=static_target
$01B450  in func $01B446  base $01B454  kind=fallback_hybrid/offset_table
$01B634  in func $01B62A  base $01B638  kind=fallback_hybrid/offset_table
$01B6C0  in func $01B6B4  base $01B6C4  kind=fallback_hybrid/offset_table
$01B6EC  in func $01B6DE  base $0015E2  kind=static_target
$01B73E  in func $01B73C  base $0015E2  kind=static_target
$01B794  in func $01B792  base $00164C  kind=static_target
$01B904  in func $01B8A0  base $0015E2  kind=static_target
$01C246  in func $01C23C  base $01C24A  kind=fallback_hybrid/offset_table
$01C2E2  in func $01C2E2  base $01924C  kind=static_target
$01C340  in func $01C340  base $01924C  kind=static_target
$01C3AC  in func $01C3AC  base $01924C  kind=static_target
$01C40A  in func $01C40A  base $019C12  kind=static_target
$01C44C  in func $01C44C  base $019C12  kind=static_target
$01C5EC  in func $01C5E4  base $019C12  kind=static_target
$01C722  in func $01C71A  base $019C12  kind=static_target
$01C7AC  in func $01C7AC  base $01923C  kind=static_target
$01C892  in func $01C85C  base $01924C  kind=static_target
$01CB4E  in func $01CB46  base $01924C  kind=static_target
$01CDEC  in func $01CDEA  base $00160A  kind=static_target
$01D17C  in func $01D162  base $01924C  kind=static_target
$01D1E0  in func $01D1C6  base $01924C  kind=static_target
$01D244  in func $01D22A  base $01924C  kind=static_target
$01D30A  in func $01D2F0  base $01924C  kind=static_target
$01D36E  in func $01D354  base $01924C  kind=static_target
$01D3D2  in func $01D3B8  base $01924C  kind=static_target
$01D458  in func $01D458  base $019C5E  kind=static_target
$01D63A  in func $01D5E2  base $013A8E  kind=static_target
$01D79E  in func $01D794  base $019C3A  kind=static_target
$01D7A4  in func $01D7A4  base $01924C  kind=static_target
$01D890  in func $01D87C  base $01924C  kind=static_target
$01D896  in func $01D896  base $01923C  kind=static_target
$01D8C2  in func $01D8AE  base $01924C  kind=static_target
$01D902  in func $01D902  base $01924C  kind=static_target
$01D942  in func $01D938  base $019C3A  kind=static_target
$01D948  in func $01D948  base $01924C  kind=static_target
$01DC0C  in func $01DC0A  base $00160A  kind=static_target
$01E284  in func $01E270  base $01924C  kind=static_target
$01E28A  in func $01E28A  base $01923C  kind=static_target
$01E38E  in func $01E37C  base $01924C  kind=static_target
$01E3A0  in func $01E394  base $01924C  kind=static_target
$01E3A6  in func $01E3A6  base $01923C  kind=static_target
$01E4BE  in func $01E4A6  base $00160A  kind=static_target
$01F702  in func $01F6E4  base $01923C  kind=static_target
$01F8A2  in func $01F86C  base $01923C  kind=static_target
$01F8B0  in func $01F8B0  base $019C12  kind=static_target
$01F9A8  in func $01F996  base $01924C  kind=static_target
$01F9AE  in func $01F9AE  base $01923C  kind=static_target
$01FA24  in func $01FA22  base $00160A  kind=static_target
$01FAE4  in func $01FAE4  base $019C12  kind=static_target
$01FB4A  in func $01FB14  base $01923C  kind=static_target
$01FB5A  in func $01FB5A  base $019C12  kind=static_target
$0203B4  in func $0203A0  base $01924C  kind=static_target
$0203E2  in func $0203E2  base $01923C  kind=static_target
$02044A  in func $020426  base $01924C  kind=static_target
$020476  in func $020450  base $01924C  kind=static_target
$0204A2  in func $02047C  base $01924C  kind=static_target
$020522  in func $020522  base $01924C  kind=static_target
$020868  in func $020854  base $01924C  kind=static_target
$020896  in func $020896  base $01923C  kind=static_target
$0208C8  in func $02089C  base $01924C  kind=static_target
$02092A  in func $020910  base $01924C  kind=static_target
$020956  in func $020930  base $01924C  kind=static_target
$0209DA  in func $0209DA  base $01924C  kind=static_target
$020C28  in func $020C28  base $019C12  kind=static_target
$020CAE  in func $020C9C  base $019C12  kind=static_target
$020D26  in func $020D0A  base $019C12  kind=static_target
$020D5A  in func $020D5A  base $019C12  kind=static_target
$020D60  in func $020D60  base $019C12  kind=static_target
$02100E  in func $02100E  base $019C12  kind=static_target
$0210C6  in func $021094  base $01923C  kind=static_target
$0210F4  in func $0210E8  base $019C12  kind=static_target
$021138  in func $021108  base $01923C  kind=static_target
$021166  in func $02115A  base $019C12  kind=static_target
$021364  in func $021364  base $019C12  kind=static_target
$021440  in func $021400  base $021444  kind=fallback_hybrid/offset_table
$02161A  in func $02160E  base $019C12  kind=static_target
$02166C  in func $021660  base $01924C  kind=static_target
$021718  in func $021716  base $00160A  kind=static_target
$0217A6  in func $021792  base $019C3A  kind=static_target
$021828  in func $02181C  base $01924C  kind=static_target
$02192E  in func $02191A  base $00160A  kind=static_target
$021A36  in func $021A2A  base $019C12  kind=static_target
$021A8C  in func $021A80  base $01924C  kind=static_target
$021B40  in func $021B28  base $00160A  kind=static_target
$021B96  in func $021B86  base $019C3A  kind=static_target
$021C82  in func $021C80  base $00160A  kind=static_target
$021CD4  in func $021CC4  base $019C3A  kind=static_target
$021D9A  in func $021D98  base $00160A  kind=static_target
$0220AC  in func $02209A  base $0220B0  kind=fallback_hybrid/offset_table
$0222D6  in func $0222C8  base $0222DA  kind=fallback_hybrid/offset_table
$0225DA  in func $0225BC  base $01924C  kind=static_target
$022770  in func $02276C  base $019C3A  kind=static_target
$0227CC  in func $0227C8  base $019C3A  kind=static_target
$02281C  in func $022818  base $019C3A  kind=static_target
$02286A  in func $02286A  base $01924C  kind=static_target
$0228C2  in func $0228C2  base $01924C  kind=static_target
$02290E  in func $02290E  base $01924C  kind=static_target
$022954  in func $02294A  base $022958  kind=fallback_hybrid/offset_table
$0229F2  in func $0229E8  base $0229F6  kind=fallback_hybrid/offset_table
$0237E6  in func $0237E6  base $01923C  kind=static_target
$023CC4  in func $023CC4  base $01923C  kind=static_target
$023E4E  in func $023E3A  base $01924C  kind=static_target
$023E70  in func $023E70  base $01923C  kind=static_target
$0242FA  in func $0242E0  base $01924C  kind=static_target
$02455A  in func $024546  base $01924C  kind=static_target
$02456C  in func $02456C  base $01923C  kind=static_target
$024676  in func $024642  base $01924C  kind=static_target
$024688  in func $024688  base $01923C  kind=static_target
$0247E0  in func $0247E0  base $019C12  kind=static_target
$0249A2  in func $0249A2  base $019CEC  kind=static_target
$024B26  in func $024B26  base $019C12  kind=static_target
$024D14  in func $024D10  base $019C3A  kind=static_target
$0251B6  in func $0251B6  base $019C12  kind=static_target
$025260  in func $02525E  base $00160A  kind=static_target
$0252C6  in func $0252B6  base $019C12  kind=static_target
$025444  in func $025426  base $019C12  kind=static_target
$025462  in func $025462  base $019CEC  kind=static_target
$025688  in func $025674  base $01924C  kind=static_target
$0256A2  in func $02568E  base $01924C  kind=static_target
$0256C2  in func $0256C2  base $01923C  kind=static_target
$02577A  in func $02577A  base $01924C  kind=static_target
$025BF0  in func $025BE8  base $025BF4  kind=fallback_hybrid/offset_table
$025F46  in func $025F3C  base $019C12  kind=static_target
$025F62  in func $025F4E  base $01924C  kind=static_target
$025F84  in func $025F74  base $01923C  kind=static_target
$0260FC  in func $0260F6  base $031792  kind=static_target
$02610E  in func $026104  base $019C12  kind=static_target
$026166  in func $026148  base $019C3A  kind=static_target
$0261BC  in func $0261BC  base $019C12  kind=static_target
$0262FE  in func $0262EA  base $019C12  kind=static_target
$026312  in func $026304  base $019C12  kind=static_target
$026500  in func $0264EC  base $01C15E  kind=static_target
$02658E  in func $02658E  base $019C12  kind=static_target
$0266CA  in func $0266B6  base $01924C  kind=static_target
$0266D0  in func $0266D0  base $01923C  kind=static_target
$026704  in func $0266F0  base $01924C  kind=static_target
$0267F6  in func $0267F4  base $00160A  kind=static_target
$026A02  in func $0269F6  base $019C12  kind=static_target
$026AD4  in func $026ABA  base $026ADA  kind=fallback_hybrid/offset_table
$026BDA  in func $026BAC  base $0017B0  kind=static_target
$026D08  in func $026CE6  base $0017B0  kind=static_target
$026D30  in func $026D0E  base $0017B0  kind=static_target
$026D78  in func $026D54  base $0017B0  kind=static_target
$026DB4  in func $026D8E  base $0017B0  kind=static_target
$0273C2  in func $0273B4  base $0017B0  kind=static_target
$0273D6  in func $0273C8  base $0017B0  kind=static_target
$027A3A  in func $027A3A  base $019C12  kind=static_target
$027CE4  in func $027CC6  base $019C12  kind=static_target
$028234  in func $028202  base $019C12  kind=static_target
$028258  in func $028258  base $019C12  kind=static_target
$028340  in func $028340  base $019C5E  kind=static_target
$0283B6  in func $0283B6  base $019C12  kind=static_target
$02849C  in func $028496  base $019C5E  kind=static_target
$028504  in func $0284DC  base $019C5E  kind=static_target
$0285A2  in func $0285A2  base $019C5E  kind=static_target
$0285B0  in func $0285A8  base $0285B4  kind=fallback_hybrid/offset_table
$028926  in func $028926  base $019C5E  kind=static_target
$028988  in func $028988  base $019C12  kind=static_target
$0289B8  in func $0289B8  base $019C12  kind=static_target
$0289E8  in func $0289E8  base $019C12  kind=static_target
$028A52  in func $028A52  base $019C5E  kind=static_target
$028A8C  in func $028A8C  base $019C12  kind=static_target
$028AD0  in func $028AD0  base $019C5E  kind=static_target
$028B94  in func $028B94  base $019C5E  kind=static_target
$028BE0  in func $028BE0  base $019CEC  kind=static_target
$028CFE  in func $028CE4  base $019C12  kind=static_target
$028D80  in func $028D56  base $019C12  kind=static_target
$028DB0  in func $028DB0  base $019C12  kind=static_target
$028DCA  in func $028DBC  base $028DCE  kind=fallback_hybrid/offset_table
$029472  in func $029472  base $019C12  kind=static_target
$0294B6  in func $0294A0  base $019C12  kind=static_target
$0297A4  in func $0297A4  base $019C12  kind=static_target
$029874  in func $029860  base $01924C  kind=static_target
$02987A  in func $02987A  base $01923C  kind=static_target
$0298B2  in func $029880  base $019C12  kind=static_target
$0298EE  in func $0298EE  base $019C12  kind=static_target
$029978  in func $029978  base $019C12  kind=static_target
$02A0CE  in func $02A0B2  base $019C5E  kind=static_target
$02A0D4  in func $02A0D4  base $019C12  kind=static_target
$02A330  in func $02A2DE  base $01C15E  kind=static_target
$02A59E  in func $02A588  base $019C5E  kind=static_target
$02A5A4  in func $02A5A4  base $019C12  kind=static_target
$02A5B4  in func $02A5AA  base $01924C  kind=static_target
$02A5C6  in func $02A5BA  base $01924C  kind=static_target
$02A5CC  in func $02A5CC  base $01923C  kind=static_target
$02A60C  in func $02A5F6  base $019C5E  kind=static_target
$02A624  in func $02A624  base $01924C  kind=static_target
$02A654  in func $02A648  base $01924C  kind=static_target
$02A65A  in func $02A65A  base $01923C  kind=static_target
$02A686  in func $02A66C  base $019C5E  kind=static_target
$02A75A  in func $02A74C  base $00160A  kind=static_target
$02AA3C  in func $02AA1E  base $01924C  kind=static_target
$02AA6A  in func $02AA6A  base $01923C  kind=static_target
$02AA70  in func $02AA70  base $01924C  kind=static_target
$02AB24  in func $02AB1A  base $01924C  kind=static_target
$02AB36  in func $02AB2A  base $01924C  kind=static_target
$02AB3C  in func $02AB3C  base $01923C  kind=static_target
$02AB82  in func $02AB82  base $01923C  kind=static_target
$02AC32  in func $02AC24  base $00160A  kind=static_target
$02AC8C  in func $02AC86  base $01923C  kind=static_target
$02AD8A  in func $02AD8A  base $019C5E  kind=static_target
$02ADF4  in func $02ADC8  base $01924C  kind=static_target
$02AE16  in func $02AE16  base $01923C  kind=static_target
$02AE42  in func $02AE42  base $01924C  kind=static_target
$02B0B8  in func $02B086  base $01924C  kind=static_target
$02B0D8  in func $02B0D8  base $01923C  kind=static_target
$02B100  in func $02B0DE  base $01160A  kind=static_target
$02B33C  in func $02B33C  base $019C12  kind=static_target
$02B6D8  in func $02B6CC  base $019C12  kind=static_target
$02B7D0  in func $02B7D0  base $019C12  kind=static_target
$02B806  in func $02B7D6  base $019C3A  kind=static_target
$02B83C  in func $02B80C  base $019C3A  kind=static_target
$02B872  in func $02B842  base $019C3A  kind=static_target
$02B8A8  in func $02B878  base $019C3A  kind=static_target
$02B8DA  in func $02B8AE  base $019C3A  kind=static_target
$02B90E  in func $02B8E0  base $019C3A  kind=static_target
$02B9B6  in func $02B9B6  base $019C12  kind=static_target
$02BA12  in func $02B9FA  base $019C5E  kind=static_target
$02BC20  in func $02BC20  base $019C12  kind=static_target
$02BC8A  in func $02BC8A  base $019C12  kind=static_target
$02BD12  in func $02BD12  base $01924C  kind=static_target
$02BDCA  in func $02BDC0  base $02BDCE  kind=fallback_hybrid/offset_table
$02BF50  in func $02BEEA  base $01924C  kind=static_target
$02BFF6  in func $02BFF6  base $01924C  kind=static_target
$02C006  in func $02BFFC  base $01924C  kind=static_target
$02C00C  in func $02C00C  base $01923C  kind=static_target
$02C068  in func $02C068  base $01924C  kind=static_target
$02C0A8  in func $02C09A  base $01924C  kind=static_target
$02C110  in func $02C102  base $01924C  kind=static_target
$02C12E  in func $02C12E  base $01924C  kind=static_target
$02C150  in func $02C150  base $01924C  kind=static_target
$02C352  in func $02C33E  base $01924C  kind=static_target
$02C450  in func $02C446  base $02C454  kind=fallback_hybrid/offset_table
$02C5A2  in func $02C596  base $019C12  kind=static_target
$02C5C6  in func $02C5C6  base $01923C  kind=static_target
$02C5FC  in func $02C5CC  base $019C12  kind=static_target
$02C9C8  in func $02C9C4  base $019CEC  kind=static_target
$02C9CE  in func $02C9CE  base $01923C  kind=static_target
$02CA22  in func $02CA1E  base $01924C  kind=static_target
$02CA5E  in func $02CA36  base $01924C  kind=static_target
$02CA88  in func $02CA88  base $01924C  kind=static_target
$02CA98  in func $02CA8E  base $02CA9C  kind=fallback_hybrid/offset_table
$02CAB8  in func $02CAA4  base $01923C  kind=static_target
$02CC3A  in func $02CC3A  base $01923C  kind=static_target
$02CC54  in func $02CC40  base $01923C  kind=static_target
$02CC84  in func $02CC7E  base $01924C  kind=static_target
$02CCAC  in func $02CC98  base $01923C  kind=static_target
$02CCD6  in func $02CCD6  base $01924C  kind=static_target
$02CCFA  in func $02CCF2  base $01923C  kind=static_target
$02CD1A  in func $02CD00  base $01923C  kind=static_target
$02CD44  in func $02CD44  base $01924C  kind=static_target
$02CE0E  in func $02CE04  base $02CE12  kind=fallback_hybrid/offset_table
$02CF6E  in func $02CF4E  base $0015E2  kind=static_target
$02CFB0  in func $02CF96  base $00160A  kind=static_target
$02CFF6  in func $02CFE8  base $01923C  kind=static_target
$02D078  in func $02D074  base $01924C  kind=static_target
$02D09C  in func $02D09A  base $01924C  kind=static_target
$02D0F6  in func $02D0E0  base $01923C  kind=static_target
$02D450  in func $02D446  base $02D454  kind=fallback_hybrid/offset_table
$02D4D6  in func $02D4C2  base $0015E2  kind=static_target
$02D514  in func $02D4FE  base $00160A  kind=static_target
$02D73C  in func $02D738  base $01924C  kind=static_target
$02D758  in func $02D754  base $01924C  kind=static_target
$02D76C  in func $02D75E  base $01924C  kind=static_target
$02D78C  in func $02D772  base $01924C  kind=static_target
$02D7D2  in func $02D7CA  base $000000  kind=dynamic_register
$02D804  in func $02D7FC  base $000000  kind=dynamic_register
$02D826  in func $02D81E  base $000000  kind=dynamic_register
$02D84E  in func $02D828  base $000000  kind=dynamic_register
$02D892  in func $02D882  base $01924C  kind=static_target
$02D8B4  in func $02D8A6  base $01923C  kind=static_target
$02D8C0  in func $02D8C0  base $01924C  kind=static_target
$02D8C6  in func $02D8C6  base $01923C  kind=static_target
$02E080  in func $02E076  base $02E084  kind=fallback_hybrid/offset_table
$02E15E  in func $02E152  base $01924C  kind=static_target
$02E164  in func $02E164  base $01923C  kind=static_target
$02E17C  in func $02E16A  base $01924C  kind=static_target
$02E182  in func $02E182  base $01923C  kind=static_target
$02E188  in func $02E188  base $01923C  kind=static_target
$02E2C8  in func $02E2C8  base $01923C  kind=static_target
$02E2CE  in func $02E2CE  base $01924C  kind=static_target
$02E596  in func $02E596  base $019C12  kind=static_target
$02E5EA  in func $02E5EA  base $019C12  kind=static_target
$02E62E  in func $02E610  base $019C12  kind=static_target
$02E7C6  in func $02E7BC  base $01923C  kind=static_target
$02E8BE  in func $02E8BE  base $019C12  kind=static_target
$02E9B8  in func $02E9B8  base $019C12  kind=static_target
$02E9CC  in func $02E9C6  base $01923C  kind=static_target
$02EA5A  in func $02EA5A  base $01924C  kind=static_target
$02EA8A  in func $02EA76  base $01924C  kind=static_target
$02EA90  in func $02EA90  base $01923C  kind=static_target
$02EACE  in func $02EABA  base $01924C  kind=static_target
$02EAF0  in func $02EAD4  base $01924C  kind=static_target
$02EB12  in func $02EAF6  base $01924C  kind=static_target
$02EB70  in func $02EB70  base $019C5E  kind=static_target
$02ED8C  in func $02ED8C  base $019C12  kind=static_target
$02EE32  in func $02EE26  base $019C12  kind=static_target
$02F17E  in func $02F17A  base $019C3A  kind=static_target
$02F24A  in func $02F23A  base $01924C  kind=static_target
$02F250  in func $02F250  base $01923C  kind=static_target
$02F2FA  in func $02F2CC  base $019C3A  kind=static_target
$02F326  in func $02F320  base $019C5E  kind=static_target
$02F3CC  in func $02F3CC  base $019C12  kind=static_target
$02F5AA  in func $02F5AA  base $01924C  kind=static_target
$02F7A8  in func $02F78A  base $019C12  kind=static_target
$02F81E  in func $02F81E  base $019C12  kind=static_target
$02F9BA  in func $02F9BA  base $019C12  kind=static_target
$02FBF0  in func $02FBD2  base $019C12  kind=static_target
$02FD56  in func $02FD38  base $019C12  kind=static_target
$02FE02  in func $02FE02  base $01923C  kind=static_target
$02FEA2  in func $02FEA2  base $01923C  kind=static_target
$0302CE  in func $0302A8  base $01924C  kind=static_target
$0302E0  in func $0302E0  base $01923C  kind=static_target
$030434  in func $03041A  base $019CEC  kind=static_target
