# JMP-table dispatch audit
# total sites: 3540
#
# Summary:
#   static_target           3347  (JMP with statically resolved target — safe)
#   in_function_switch         0  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register          37  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry          71    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table            84    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      1    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$00B6C0  in func $00B6A6  base $01ABC6  kind=static_target
$00B9C6  in func $00B9C2  base $00B4F6  kind=static_target
$00BF50  in func $00BF50  base $01ABC6  kind=static_target
$00C52C  in func $00C524  base $00C3E4  kind=static_target
$00C568  in func $00C560  base $00C3E4  kind=static_target
$00C860  in func $00C856  base $001380  kind=static_target
$00D304  in func $00D2F8  base $01ABC6  kind=static_target
$00D370  in func $00D30C  base $01ABC6  kind=static_target
$00D5F8  in func $00D5DE  base $01ABC6  kind=static_target
$00D674  in func $00D5FE  base $01ABC6  kind=static_target
$00D6CA  in func $00D6CA  base $01ABC6  kind=static_target
$00D77C  in func $00D774  base $01ABC6  kind=static_target
$00D788  in func $00D782  base $00D78C  kind=fallback_hybrid/function_entry
$00D84E  in func $00D83C  base $01ABC6  kind=static_target
$00D8BE  in func $00D8BE  base $01ABC6  kind=static_target
$00D90C  in func $00D90C  base $01ABC6  kind=static_target
$00DBAC  in func $00DB92  base $01AF6C  kind=static_target
$00DCFE  in func $00DCCA  base $001358  kind=static_target
$00E8B4  in func $00E8AA  base $00E8B8  kind=fallback_hybrid/offset_table
$00EAEA  in func $00EAE6  base $01A596  kind=static_target
$0105EC  in func $0105E6  base $092A0E  kind=static_target
$010618  in func $01060E  base $01061C  kind=fallback_hybrid/offset_table
$010AD2  in func $010ACE  base $01ABC6  kind=static_target
$010AD8  in func $010AD8  base $092A0E  kind=static_target
$010AE8  in func $010ADE  base $010AEC  kind=fallback_hybrid/offset_table
$010D3A  in func $010D32  base $0013C2  kind=static_target
$010EA0  in func $010E82  base $001380  kind=static_target
$010F26  in func $010F22  base $001380  kind=static_target
$01172C  in func $01172C  base $010366  kind=static_target
$011974  in func $011958  base $001380  kind=static_target
$01199C  in func $01197A  base $001380  kind=static_target
$0119CC  in func $0119A2  base $001380  kind=static_target
$011A0E  in func $0119F6  base $001380  kind=static_target
$011A90  in func $011A16  base $001358  kind=static_target
$0122B8  in func $0122AA  base $001380  kind=static_target
$012312  in func $012302  base $01ABC6  kind=static_target
$01238A  in func $01238A  base $010366  kind=static_target
$0123BC  in func $0123AA  base $01ABC6  kind=static_target
$012492  in func $012478  base $001746  kind=static_target
$0125A6  in func $0125A2  base $01ABC6  kind=static_target
$0125DA  in func $0125C6  base $01ABC6  kind=static_target
$01312A  in func $013124  base $092A0E  kind=static_target
$013156  in func $01314C  base $01315A  kind=fallback_hybrid/offset_table
$0136A2  in func $01369E  base $01ABC6  kind=static_target
$0136A8  in func $0136A8  base $092A0E  kind=static_target
$0136B8  in func $0136AE  base $0136BC  kind=fallback_hybrid/offset_table
$0139A0  in func $013998  base $0013C2  kind=static_target
$0139E8  in func $0139DC  base $0139EC  kind=fallback_hybrid/offset_table
$0146B4  in func $01469C  base $001380  kind=static_target
$014742  in func $01473E  base $001380  kind=static_target
$014F56  in func $014F56  base $010366  kind=static_target
$0151F6  in func $0151A4  base $001358  kind=static_target
$015710  in func $015700  base $01ABC6  kind=static_target
$015788  in func $015788  base $010366  kind=static_target
$0157DA  in func $0157C8  base $01ABC6  kind=static_target
$01580A  in func $015806  base $01ABC6  kind=static_target
$01583C  in func $015828  base $01ABC6  kind=static_target
$01615E  in func $01615A  base $01ABC6  kind=static_target
$01629A  in func $01628C  base $01ABC6  kind=static_target
$016482  in func $01647E  base $01ABC6  kind=static_target
$016488  in func $016488  base $092A0E  kind=static_target
$016498  in func $01648E  base $01649C  kind=fallback_hybrid/offset_table
$0166E6  in func $0166DE  base $0013C2  kind=static_target
$016768  in func $01674A  base $001380  kind=static_target
$0167EE  in func $0167EA  base $001380  kind=static_target
$017938  in func $0178CE  base $001358  kind=static_target
$017C0A  in func $017BFA  base $01ABC6  kind=static_target
$017C82  in func $017C82  base $010366  kind=static_target
$017CB4  in func $017CA2  base $01ABC6  kind=static_target
$017CE4  in func $017CE0  base $01ABC6  kind=static_target
$017D18  in func $017D04  base $01ABC6  kind=static_target
$01816E  in func $018164  base $018172  kind=fallback_hybrid/offset_table
$018248  in func $018218  base $01ABC6  kind=static_target
$01824E  in func $01824E  base $01ABB6  kind=static_target
$018266  in func $018254  base $01ABC6  kind=static_target
$01826C  in func $01826C  base $01ABB6  kind=static_target
$0182A6  in func $018290  base $01ABC6  kind=static_target
$0182AC  in func $0182AC  base $01ABB6  kind=static_target
$0182CC  in func $0182B2  base $01ABC6  kind=static_target
$018760  in func $018756  base $018764  kind=fallback_hybrid/offset_table
$0187D0  in func $0187C4  base $01ABC6  kind=static_target
$0187D8  in func $0187D8  base $01ABB6  kind=static_target
$018B48  in func $018B3E  base $018B4C  kind=fallback_hybrid/offset_table
$018BBA  in func $018BAA  base $018BBE  kind=fallback_hybrid/offset_table
$018C1A  in func $018C04  base $01ABC6  kind=static_target
$018CA4  in func $018C94  base $01ABC6  kind=static_target
$018F90  in func $018F86  base $018F94  kind=fallback_hybrid/offset_table
$018FE2  in func $018FD2  base $018FE6  kind=fallback_hybrid/offset_table
$019052  in func $019046  base $01ABC6  kind=static_target
$0191FA  in func $0191FA  base $01ABC6  kind=static_target
$019230  in func $019230  base $01ABB6  kind=static_target
$0192C6  in func $0192C0  base $01ABB6  kind=static_target
$019480  in func $019480  base $01ABC6  kind=static_target
$019486  in func $019486  base $01ABB6  kind=static_target
$01959E  in func $01952A  base $01ABC6  kind=static_target
$01968A  in func $019602  base $01ABC6  kind=static_target
$0197BE  in func $01979A  base $01ABC6  kind=static_target
$019892  in func $019874  base $01ABC6  kind=static_target
$019898  in func $019898  base $01ABB6  kind=static_target
$019984  in func $019922  base $01ABC6  kind=static_target
$01A270  in func $01A228  base $01ABC6  kind=static_target
$01A28C  in func $01A276  base $01ABB6  kind=static_target
$01A35A  in func $01A31E  base $01052E  kind=static_target
$01A524  in func $01A51A  base $01A528  kind=fallback_hybrid/offset_table
$01A5E2  in func $01A5D8  base $001358  kind=static_target
$01A5E8  in func $01A5E8  base $001380  kind=static_target
$01A63E  in func $01A638  base $001358  kind=static_target
$01A644  in func $01A644  base $001380  kind=static_target
$01A654  in func $01A64A  base $01A658  kind=fallback_hybrid/offset_table
$01A66C  in func $01A662  base $01A670  kind=fallback_hybrid/offset_table
$01A98C  in func $01A988  base $01AB52  kind=static_target
$01A9F8  in func $01A9EE  base $01A9FC  kind=fallback_hybrid/offset_table
$01B696  in func $01B690  base $01B69A  kind=fallback_hybrid/function_entry
$01C2AA  in func $01C2AA  base $04E35C  kind=static_target
$01C460  in func $01C456  base $01C464  kind=fallback_hybrid/offset_table
$01C62C  in func $01C622  base $01C630  kind=fallback_hybrid/offset_table
$01C888  in func $01C87E  base $01C88C  kind=fallback_hybrid/offset_table
$01C900  in func $01C8F6  base $01C904  kind=fallback_hybrid/offset_table
$01C926  in func $01C91C  base $01C92A  kind=fallback_hybrid/offset_table
$01C9D6  in func $01C9CC  base $01C9DA  kind=fallback_hybrid/offset_table
$01CA18  in func $01CA0E  base $01CA1C  kind=fallback_hybrid/offset_table
$01CA4A  in func $01CA40  base $01CA4E  kind=fallback_hybrid/offset_table
$01CAD6  in func $01CACC  base $01CADA  kind=fallback_hybrid/offset_table
$01CDA6  in func $01CD8A  base $01B5D4  kind=static_target
$01CDAC  in func $01CDAC  base $01B588  kind=static_target
$01CDD4  in func $01CDB2  base $01ABC6  kind=static_target
$01CF0E  in func $01CEF2  base $01B5D4  kind=static_target
$01CF14  in func $01CF14  base $01B588  kind=static_target
$01CF3C  in func $01CF1A  base $01ABC6  kind=static_target
$01D1D6  in func $01D1BA  base $01B5D4  kind=static_target
$01D1DC  in func $01D1DC  base $01B588  kind=static_target
$01D3AC  in func $01D390  base $01B5D4  kind=static_target
$01D3B2  in func $01D3B2  base $01B588  kind=static_target
$01D570  in func $01D566  base $01D574  kind=fallback_hybrid/offset_table
$01D7C4  in func $01D7BA  base $01D7C8  kind=fallback_hybrid/offset_table
$01D878  in func $01D86C  base $01D87C  kind=fallback_hybrid/offset_table
$01D892  in func $01D890  base $024280  kind=static_target
$01D8A6  in func $01D898  base $001358  kind=static_target
$01D8F8  in func $01D8F6  base $001358  kind=static_target
$01D94E  in func $01D94C  base $0013C2  kind=static_target
$01DB26  in func $01DA60  base $001358  kind=static_target
$01E5EA  in func $01E5E0  base $01E5EE  kind=fallback_hybrid/offset_table
$01E688  in func $01E688  base $01ABC6  kind=static_target
$01E6E6  in func $01E6E6  base $01ABC6  kind=static_target
$01E752  in func $01E752  base $01ABC6  kind=static_target
$01E7B0  in func $01E7B0  base $01B588  kind=static_target
$01E7DC  in func $01E7DC  base $01B588  kind=static_target
$01E8BA  in func $01E8BA  base $01B5D4  kind=static_target
$01E8C0  in func $01E8C0  base $01B588  kind=static_target
$01EA08  in func $01EA08  base $01B5D4  kind=static_target
$01EA0E  in func $01EA0E  base $01B588  kind=static_target
$01EBB6  in func $01EBB6  base $01ABB6  kind=static_target
$01ECA2  in func $01EC6C  base $01ABC6  kind=static_target
$01EF5E  in func $01EF56  base $01ABC6  kind=static_target
$01F1FC  in func $01F1FA  base $001380  kind=static_target
$01F4BC  in func $01F4A2  base $01ABC6  kind=static_target
$01F520  in func $01F506  base $01ABC6  kind=static_target
$01F584  in func $01F56A  base $01ABC6  kind=static_target
$01F664  in func $01F64A  base $01ABC6  kind=static_target
$01F6C8  in func $01F6AE  base $01ABC6  kind=static_target
$01F72C  in func $01F712  base $01ABC6  kind=static_target
$01F7B2  in func $01F7B2  base $01B5D4  kind=static_target
$01F994  in func $01F93C  base $012D22  kind=static_target
$01FB56  in func $01FB4C  base $01B5B0  kind=static_target
$01FB5C  in func $01FB5C  base $01ABC6  kind=static_target
$01FC54  in func $01FC42  base $01ABC6  kind=static_target
$01FC5A  in func $01FC5A  base $01ABB6  kind=static_target
$01FC96  in func $01FC84  base $01ABC6  kind=static_target
$01FCC2  in func $01FCAE  base $01ABC6  kind=static_target
$01FD02  in func $01FD02  base $01ABC6  kind=static_target
$01FD42  in func $01FD38  base $01B5B0  kind=static_target
$01FD48  in func $01FD48  base $01ABC6  kind=static_target
$01FF7E  in func $01FF48  base $01B5B0  kind=static_target
$01FFBE  in func $01FFBA  base $01B5B0  kind=static_target
$020030  in func $020030  base $01B588  kind=static_target
$0201BE  in func $0201BC  base $001380  kind=static_target
$020268  in func $020266  base $001380  kind=static_target
$020A6A  in func $020A56  base $01ABC6  kind=static_target
$020A70  in func $020A70  base $01ABB6  kind=static_target
$020B6E  in func $020B6E  base $01ABC6  kind=static_target
$020B80  in func $020B74  base $01ABC6  kind=static_target
$020B86  in func $020B86  base $01ABB6  kind=static_target
$020CB0  in func $020C98  base $001380  kind=static_target
$02133A  in func $02131C  base $01ABB6  kind=static_target
$02159E  in func $021568  base $01ABB6  kind=static_target
$0215AC  in func $0215AC  base $01B588  kind=static_target
$0216A4  in func $021692  base $01ABC6  kind=static_target
$0216AA  in func $0216AA  base $01ABB6  kind=static_target
$0217E8  in func $0217E8  base $01B588  kind=static_target
$02184E  in func $021818  base $01ABB6  kind=static_target
$02185C  in func $02185C  base $01B588  kind=static_target
$021F4C  in func $021F38  base $01ABC6  kind=static_target
$021F7A  in func $021F7A  base $01ABB6  kind=static_target
$021FE2  in func $021FBE  base $01ABC6  kind=static_target
$02200E  in func $021FE8  base $01ABC6  kind=static_target
$02203A  in func $022014  base $01ABC6  kind=static_target
$0220BA  in func $0220BA  base $01ABC6  kind=static_target
$022456  in func $022442  base $01ABC6  kind=static_target
$022484  in func $022484  base $01ABB6  kind=static_target
$0224B6  in func $02248A  base $01ABC6  kind=static_target
$022518  in func $0224FE  base $01ABC6  kind=static_target
$022544  in func $02251E  base $01ABC6  kind=static_target
$0225C8  in func $0225C8  base $01ABC6  kind=static_target
$022838  in func $022824  base $01ABC6  kind=static_target
$022866  in func $022866  base $01ABB6  kind=static_target
$022892  in func $02286C  base $01ABC6  kind=static_target
$022912  in func $022912  base $01ABC6  kind=static_target
$022D46  in func $022D06  base $022D4A  kind=fallback_hybrid/offset_table
$022F40  in func $022F34  base $01B588  kind=static_target
$022F92  in func $022F86  base $01ABC6  kind=static_target
$02304A  in func $023048  base $001380  kind=static_target
$0230D8  in func $0230C4  base $01B5B0  kind=static_target
$02315A  in func $02314E  base $01ABC6  kind=static_target
$023266  in func $02324C  base $001380  kind=static_target
$02336E  in func $023362  base $01B588  kind=static_target
$0233C4  in func $0233B8  base $01ABC6  kind=static_target
$02348A  in func $02346C  base $001380  kind=static_target
$0234E0  in func $0234D0  base $01B5B0  kind=static_target
$0235CC  in func $0235CA  base $001380  kind=static_target
$02361E  in func $02360E  base $01B5B0  kind=static_target
$0236E4  in func $0236E2  base $001380  kind=static_target
$0239F6  in func $0239E4  base $0239FA  kind=fallback_hybrid/offset_table
$023C20  in func $023C12  base $023C24  kind=fallback_hybrid/offset_table
$023F24  in func $023F06  base $01ABC6  kind=static_target
$0240DC  in func $0240D8  base $01B5B0  kind=static_target
$024138  in func $024134  base $01B5B0  kind=static_target
$024188  in func $024184  base $01B5B0  kind=static_target
$0241D6  in func $0241D6  base $01ABC6  kind=static_target
$02422E  in func $02422E  base $01ABC6  kind=static_target
$02427A  in func $02427A  base $01ABC6  kind=static_target
$0242C0  in func $0242B6  base $0242C4  kind=fallback_hybrid/offset_table
$0243C4  in func $0243BA  base $0243C8  kind=fallback_hybrid/offset_table
$024D94  in func $024D94  base $01ABB6  kind=static_target
$024F30  in func $024F1C  base $01ABC6  kind=static_target
$024F52  in func $024F52  base $01ABB6  kind=static_target
$0253DC  in func $0253C2  base $01ABC6  kind=static_target
$02563C  in func $025628  base $01ABC6  kind=static_target
$02564E  in func $02564E  base $01ABB6  kind=static_target
$025758  in func $025724  base $01ABC6  kind=static_target
$02576A  in func $02576A  base $01ABB6  kind=static_target
$0258B6  in func $02588C  base $01B5B0  kind=static_target
$025AB2  in func $025A7E  base $01B5B0  kind=static_target
$025B8C  in func $025B8C  base $01B588  kind=static_target
$025D26  in func $025D26  base $01B662  kind=static_target
$025EA0  in func $025EA0  base $01B588  kind=static_target
$026032  in func $02602E  base $01B5B0  kind=static_target
$0261EC  in func $0261EC  base $01B588  kind=static_target
$026296  in func $026294  base $001380  kind=static_target
$0262FC  in func $0262EC  base $01B588  kind=static_target
$02645A  in func $02643C  base $01B588  kind=static_target
$026478  in func $026478  base $01B662  kind=static_target
$02659C  in func $026588  base $01ABC6  kind=static_target
$0265B6  in func $0265A2  base $01ABC6  kind=static_target
$0265D6  in func $0265D6  base $01ABB6  kind=static_target
$02668E  in func $02668E  base $01ABC6  kind=static_target
$026B1A  in func $026B12  base $026B1E  kind=fallback_hybrid/offset_table
$026E70  in func $026E66  base $01B588  kind=static_target
$026E8C  in func $026E78  base $01ABC6  kind=static_target
$026EAE  in func $026E9E  base $01ABB6  kind=static_target
$027026  in func $027020  base $032610  kind=static_target
$027038  in func $02702E  base $01B588  kind=static_target
$027090  in func $027072  base $01B5B0  kind=static_target
$027100  in func $027100  base $01B588  kind=static_target
$0271DA  in func $0271C6  base $01B588  kind=static_target
$0271EE  in func $0271E0  base $01B588  kind=static_target
$0273DC  in func $0273C8  base $01E490  kind=static_target
$027450  in func $027450  base $01B588  kind=static_target
$0275A6  in func $027592  base $01ABC6  kind=static_target
$0275AC  in func $0275AC  base $01ABB6  kind=static_target
$0275E0  in func $0275CC  base $01ABC6  kind=static_target
$0276D2  in func $0276D0  base $001380  kind=static_target
$027772  in func $027758  base $027778  kind=fallback_hybrid/offset_table
$027878  in func $02784A  base $001526  kind=static_target
$0279A6  in func $027984  base $001526  kind=static_target
$0279CE  in func $0279AC  base $001526  kind=static_target
$027A16  in func $0279F2  base $001526  kind=static_target
$027A52  in func $027A2C  base $001526  kind=static_target
$028060  in func $028052  base $001526  kind=static_target
$028074  in func $028066  base $001526  kind=static_target
$028E70  in func $028E70  base $01B588  kind=static_target
$0290EC  in func $0290CE  base $01B588  kind=static_target
$02930E  in func $0292DC  base $01B588  kind=static_target
$029332  in func $029332  base $01B588  kind=static_target
$0293CA  in func $0293CA  base $01B5D4  kind=static_target
$029440  in func $029440  base $01B588  kind=static_target
$029502  in func $0294FC  base $01B5D4  kind=static_target
$02956A  in func $029542  base $01B5D4  kind=static_target
$029608  in func $029608  base $01B5D4  kind=static_target
$029616  in func $02960E  base $02961A  kind=fallback_hybrid/offset_table
$02998C  in func $02998C  base $01B5D4  kind=static_target
$0299EE  in func $0299EE  base $01B588  kind=static_target
$029A1E  in func $029A1E  base $01B588  kind=static_target
$029A4E  in func $029A4E  base $01B588  kind=static_target
$029AB8  in func $029AB8  base $01B5D4  kind=static_target
$029AF2  in func $029AF2  base $01B588  kind=static_target
$029B36  in func $029B36  base $01B5D4  kind=static_target
$029BFA  in func $029BFA  base $01B5D4  kind=static_target
$029C46  in func $029C46  base $01B662  kind=static_target
$029D64  in func $029D4A  base $01B588  kind=static_target
$029DE6  in func $029DBC  base $01B588  kind=static_target
$029E16  in func $029E16  base $01B588  kind=static_target
$029E30  in func $029E22  base $029E34  kind=fallback_hybrid/offset_table
$02A366  in func $02A366  base $01B588  kind=static_target
$02A3AA  in func $02A394  base $01B588  kind=static_target
$02A53C  in func $02A53C  base $01B588  kind=static_target
$02A60C  in func $02A5F8  base $01ABC6  kind=static_target
$02A612  in func $02A612  base $01ABB6  kind=static_target
$02A64A  in func $02A618  base $01B588  kind=static_target
$02A686  in func $02A686  base $01B588  kind=static_target
$02A710  in func $02A710  base $01B588  kind=static_target
$02AA72  in func $02AA56  base $01B5D4  kind=static_target
$02AA78  in func $02AA78  base $01B588  kind=static_target
$02ACD4  in func $02AC82  base $01E490  kind=static_target
$02AEAE  in func $02AE98  base $01B5D4  kind=static_target
$02AEB4  in func $02AEB4  base $01B588  kind=static_target
$02AEC4  in func $02AEBA  base $01ABC6  kind=static_target
$02AED6  in func $02AECA  base $01ABC6  kind=static_target
$02AEDC  in func $02AEDC  base $01ABB6  kind=static_target
$02AF1C  in func $02AF06  base $01B5D4  kind=static_target
$02AF34  in func $02AF34  base $01ABC6  kind=static_target
$02AF64  in func $02AF58  base $01ABC6  kind=static_target
$02AF6A  in func $02AF6A  base $01ABB6  kind=static_target
$02AF96  in func $02AF7C  base $01B5D4  kind=static_target
$02B06A  in func $02B05C  base $001380  kind=static_target
$02B34C  in func $02B32E  base $01ABC6  kind=static_target
$02B37A  in func $02B37A  base $01ABB6  kind=static_target
$02B380  in func $02B380  base $01ABC6  kind=static_target
$02B434  in func $02B42A  base $01ABC6  kind=static_target
$02B446  in func $02B43A  base $01ABC6  kind=static_target
$02B44C  in func $02B44C  base $01ABB6  kind=static_target
$02B492  in func $02B492  base $01ABB6  kind=static_target
$02B542  in func $02B534  base $001380  kind=static_target
$02B59C  in func $02B596  base $01ABB6  kind=static_target
$02B69A  in func $02B69A  base $01B5D4  kind=static_target
$02B704  in func $02B6D8  base $01ABC6  kind=static_target
$02B726  in func $02B726  base $01ABB6  kind=static_target
$02B752  in func $02B752  base $01ABC6  kind=static_target
$02B8C8  in func $02B896  base $01ABC6  kind=static_target
$02B8E8  in func $02B8E8  base $01ABB6  kind=static_target
$02B910  in func $02B8EE  base $01040C  kind=static_target
$02B962  in func $02B962  base $01B588  kind=static_target
$02BF66  in func $02BF5A  base $01B588  kind=static_target
$02C26A  in func $02C26A  base $01B588  kind=static_target
$02C2A0  in func $02C270  base $01B5B0  kind=static_target
$02C2D6  in func $02C2A6  base $01B5B0  kind=static_target
$02C30C  in func $02C2DC  base $01B5B0  kind=static_target
$02C342  in func $02C312  base $01B5B0  kind=static_target
$02C374  in func $02C348  base $01B5B0  kind=static_target
$02C3A8  in func $02C37A  base $01B5B0  kind=static_target
$02C3E2  in func $02C3CA  base $01B5D4  kind=static_target
$02C626  in func $02C626  base $01B588  kind=static_target
$02C690  in func $02C690  base $01B588  kind=static_target
$02C718  in func $02C718  base $01ABC6  kind=static_target
$02C782  in func $02C778  base $02C786  kind=fallback_hybrid/offset_table
$02C91E  in func $02C8B8  base $01ABC6  kind=static_target
$02C9C4  in func $02C9C4  base $01ABC6  kind=static_target
$02C9D4  in func $02C9CA  base $01ABC6  kind=static_target
$02C9DA  in func $02C9DA  base $01ABB6  kind=static_target
$02CA36  in func $02CA36  base $01ABC6  kind=static_target
$02CA76  in func $02CA68  base $01ABC6  kind=static_target
$02CADE  in func $02CAD0  base $01ABC6  kind=static_target
$02CAFC  in func $02CAFC  base $01ABC6  kind=static_target
$02CB1E  in func $02CB1E  base $01ABC6  kind=static_target
$02CD20  in func $02CD0C  base $01ABC6  kind=static_target
$02CD30  in func $02CD26  base $01ABB6  kind=static_target
$02CD58  in func $02CD3C  base $06001E  kind=static_target
$02CD7E  in func $02CD7A  base $01ABC6  kind=static_target
$02CD94  in func $02CD84  base $01ABC6  kind=static_target
$02CDA4  in func $02CD9A  base $01ABB6  kind=static_target
$02CE26  in func $02CE26  base $01ABC6  kind=static_target
$02CE36  in func $02CE2C  base $01ABB6  kind=static_target
$02CFB2  in func $02CFA8  base $02CFB6  kind=fallback_hybrid/offset_table
$02D104  in func $02D0F8  base $01B588  kind=static_target
$02D128  in func $02D128  base $01ABB6  kind=static_target
$02D15E  in func $02D12E  base $01B588  kind=static_target
$02D478  in func $02D474  base $001AD2  kind=static_target
$02D5BA  in func $02D5B6  base $01B662  kind=static_target
$02D5C0  in func $02D5C0  base $01ABB6  kind=static_target
$02D624  in func $02D620  base $01ABC6  kind=static_target
$02D660  in func $02D638  base $01ABC6  kind=static_target
$02D68A  in func $02D68A  base $01ABC6  kind=static_target
$02D69A  in func $02D690  base $02D69E  kind=fallback_hybrid/offset_table
$02D6C2  in func $02D6C2  base $01ABB6  kind=static_target
$02D8DC  in func $02D8DC  base $01ABB6  kind=static_target
$02D8F6  in func $02D8E2  base $01ABB6  kind=static_target
$02D926  in func $02D920  base $01ABC6  kind=static_target
$02D970  in func $02D95C  base $01ABB6  kind=static_target
$02D99A  in func $02D99A  base $01ABC6  kind=static_target
$02D9C6  in func $02D9BE  base $01ABB6  kind=static_target
$02D9E6  in func $02D9CC  base $01ABB6  kind=static_target
$02DA10  in func $02DA10  base $01ABC6  kind=static_target
$02DADA  in func $02DAD0  base $02DADE  kind=fallback_hybrid/offset_table
$02DC56  in func $02DC36  base $001358  kind=static_target
$02DC98  in func $02DC7E  base $001380  kind=static_target
$02DD00  in func $02DCF8  base $01ABB6  kind=static_target
$02DD38  in func $02DD38  base $01ABB6  kind=static_target
$02DD9C  in func $02DD98  base $01ABC6  kind=static_target
$02DDC0  in func $02DDBE  base $01ABC6  kind=static_target
