# JMP-table dispatch audit
# total sites: 292
#
# Summary:
#   static_target            155  (JMP with statically resolved target — safe)
#   in_function_switch         2  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           1  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           4    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           130    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      0    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$0014CA  in func $0014C2  base $000000  kind=dynamic_register
$00F1C2  in func $00F1B8  base $00F1C6  kind=fallback_hybrid/offset_table
$00F624  in func $00F61A  base $00F628  kind=fallback_hybrid/offset_table
$00F844  in func $00F83A  base $00F848  kind=fallback_hybrid/offset_table
$00FE02  in func $00FDF8  base $00FE06  kind=fallback_hybrid/offset_table
$00FEF6  in func $00FEE6  base $00FEFA  kind=fallback_hybrid/offset_table
$0100B2  in func $0100A8  base $0100B6  kind=fallback_hybrid/offset_table
$010290  in func $010286  base $010294  kind=fallback_hybrid/offset_table
$01078C  in func $010782  base $010790  kind=fallback_hybrid/offset_table
$010980  in func $010976  base $010984  kind=fallback_hybrid/offset_table
$010BCE  in func $010BB2  base $007B2E  kind=static_target
$010BE6  in func $010BD6  base $010BEA  kind=in_function_switch targets=2
$010DE6  in func $010DD0  base $007B2E  kind=static_target
$010DFC  in func $010DEC  base $010E00  kind=in_function_switch targets=2
$01104E  in func $011044  base $011052  kind=fallback_hybrid/offset_table
$0110D0  in func $0110C6  base $0110D4  kind=fallback_hybrid/offset_table
$011210  in func $011206  base $011214  kind=fallback_hybrid/offset_table
$011350  in func $011346  base $011354  kind=fallback_hybrid/offset_table
$011424  in func $01141A  base $011428  kind=fallback_hybrid/offset_table
$0114A8  in func $011464  base $00D604  kind=static_target
$0114B0  in func $011464  base $00D640  kind=static_target
$011506  in func $0114FC  base $01150A  kind=fallback_hybrid/offset_table
$011A00  in func $0119F6  base $011A04  kind=fallback_hybrid/offset_table
$011CD8  in func $011CD4  base $011CDC  kind=fallback_hybrid/offset_table
$011F0E  in func $011F04  base $011F12  kind=fallback_hybrid/offset_table
$011FDE  in func $011FD4  base $011FE2  kind=fallback_hybrid/offset_table
$0124D8  in func $0124C2  base $007B2E  kind=static_target
$0126AE  in func $0126A4  base $0126B2  kind=fallback_hybrid/offset_table
$0127E4  in func $012736  base $00D604  kind=static_target
$0127EA  in func $012736  base $00D640  kind=static_target
$012802  in func $0127F0  base $00D604  kind=static_target
$012808  in func $0127F0  base $00D640  kind=static_target
$012AA8  in func $012A9E  base $012AAC  kind=fallback_hybrid/offset_table
$012BDE  in func $012BD8  base $01CF1A  kind=static_target
$012BEE  in func $012BE4  base $012BF2  kind=fallback_hybrid/offset_table
$012D56  in func $012CCE  base $001396  kind=static_target
$012DCE  in func $012D78  base $00139C  kind=static_target
$012E12  in func $012D78  base $00139C  kind=static_target
$013820  in func $0137F2  base $00D604  kind=static_target
$013878  in func $013862  base $00D604  kind=static_target
$0138CE  in func $01387E  base $001580  kind=static_target
$013CA2  in func $013C98  base $013CA6  kind=fallback_hybrid/offset_table
$013D72  in func $013D1C  base $00D604  kind=static_target
$013D78  in func $013D1C  base $00D640  kind=static_target
$013D8C  in func $013D7E  base $00D604  kind=static_target
$013D92  in func $013D92  base $00D640  kind=static_target
$013DC4  in func $013D98  base $00D604  kind=static_target
$013DCA  in func $013DCA  base $00D640  kind=static_target
$014162  in func $014158  base $014166  kind=fallback_hybrid/offset_table
$0141CE  in func $0141A4  base $00D604  kind=static_target
$0141D6  in func $0141A4  base $00D640  kind=static_target
$014248  in func $0141DC  base $00D604  kind=static_target
$01424E  in func $01424E  base $00D640  kind=static_target
$01425E  in func $014254  base $014262  kind=fallback_hybrid/offset_table
$0142D6  in func $01429A  base $00D604  kind=static_target
$0142E8  in func $0142DC  base $00D640  kind=static_target
$0142FA  in func $0142F0  base $0142FE  kind=fallback_hybrid/offset_table
$014340  in func $01432E  base $00D604  kind=static_target
$014346  in func $014346  base $00D640  kind=static_target
$0150A4  in func $01509A  base $0150A8  kind=fallback_hybrid/offset_table
$0154EC  in func $0154E2  base $0154F0  kind=fallback_hybrid/offset_table
$01567A  in func $01565E  base $00D604  kind=static_target
$015680  in func $01565E  base $00D640  kind=static_target
$015698  in func $01568E  base $01569C  kind=fallback_hybrid/offset_table
$0156EA  in func $0156CA  base $00D640  kind=static_target
$01573A  in func $015730  base $01573E  kind=fallback_hybrid/offset_table
$015986  in func $01597C  base $01598A  kind=fallback_hybrid/offset_table
$0159FC  in func $0159CC  base $00D604  kind=static_target
$015A02  in func $0159CC  base $00D640  kind=static_target
$015C1C  in func $015C12  base $015C20  kind=fallback_hybrid/offset_table
$015C8A  in func $015C38  base $00D640  kind=static_target
$015D5E  in func $015D0A  base $00D604  kind=static_target
$015D82  in func $015D0A  base $00D640  kind=static_target
$016002  in func $015FF8  base $016006  kind=fallback_hybrid/offset_table
$016150  in func $016146  base $016154  kind=fallback_hybrid/offset_table
$016294  in func $016294  base $00D604  kind=static_target
$0162BC  in func $0162BC  base $00D640  kind=static_target
$016394  in func $0162C6  base $00D640  kind=static_target
$016484  in func $016424  base $00D5DE  kind=static_target
$016534  in func $01652A  base $016538  kind=fallback_hybrid/offset_table
$0165D2  in func $016576  base $00D604  kind=static_target
$0165D8  in func $016576  base $00D640  kind=static_target
$016694  in func $016668  base $00D640  kind=static_target
$01693E  in func $016934  base $016942  kind=fallback_hybrid/offset_table
$016AA4  in func $016A40  base $00D604  kind=static_target
$016AC4  in func $016AC4  base $00D640  kind=static_target
$016C82  in func $016BCA  base $00D604  kind=static_target
$016CE8  in func $016CC0  base $00D604  kind=static_target
$016E3C  in func $016E34  base $00F6AC  kind=static_target
$017168  in func $01715E  base $01716C  kind=fallback_hybrid/offset_table
$01720C  in func $017170  base $00D640  kind=static_target
$01723C  in func $01721A  base $00D604  kind=static_target
$017242  in func $017242  base $00D640  kind=static_target
$01726E  in func $017264  base $017272  kind=fallback_hybrid/offset_table
$0172D6  in func $017276  base $00D640  kind=static_target
$0172DC  in func $0172DC  base $00D604  kind=static_target
$01770A  in func $017700  base $01770E  kind=fallback_hybrid/offset_table
$0177B6  in func $01778A  base $00D604  kind=static_target
$017A1E  in func $017A1E  base $00D640  kind=static_target
$017A70  in func $017A70  base $00D640  kind=static_target
$017AA4  in func $017AA4  base $00D640  kind=static_target
$017ADE  in func $017AAA  base $00D604  kind=static_target
$017AEE  in func $017AE4  base $017AF2  kind=fallback_hybrid/offset_table
$017C14  in func $017C06  base $00D604  kind=static_target
$017C24  in func $017C1A  base $00D604  kind=static_target
$017C7E  in func $017C7E  base $00D604  kind=static_target
$017CB6  in func $017CB6  base $00D604  kind=static_target
$017E40  in func $017E36  base $017E44  kind=fallback_hybrid/offset_table
$017F08  in func $017EDA  base $00D604  kind=static_target
$01816A  in func $01816A  base $00D640  kind=static_target
$0181B8  in func $0181B8  base $00D640  kind=static_target
$0181F2  in func $0181F2  base $00D640  kind=static_target
$01822A  in func $0181F8  base $00D604  kind=static_target
$01823A  in func $018230  base $01823E  kind=fallback_hybrid/offset_table
$0182F2  in func $0182C8  base $00D604  kind=static_target
$0185AA  in func $0185AA  base $00D640  kind=static_target
$018604  in func $018604  base $00D640  kind=static_target
$018638  in func $018638  base $00D640  kind=static_target
$018670  in func $01864A  base $00D604  kind=static_target
$01869E  in func $01869E  base $00D640  kind=static_target
$0186B2  in func $0186A4  base $00D604  kind=static_target
$018744  in func $018744  base $00D640  kind=static_target
$018880  in func $018880  base $00D640  kind=static_target
$0188A6  in func $0188A0  base $00A718  kind=static_target
$0188AC  in func $0188AC  base $00D640  kind=static_target
$0188B2  in func $0188B2  base $00D640  kind=static_target
$0188C2  in func $0188B8  base $0188C6  kind=fallback_hybrid/offset_table
$0189A6  in func $01897C  base $00D604  kind=static_target
$018C9E  in func $018C78  base $00D604  kind=static_target
$018CFE  in func $018CCE  base $00D604  kind=static_target
$0190F8  in func $0190EE  base $0190FC  kind=fallback_hybrid/offset_table
$0191BA  in func $019190  base $00D604  kind=static_target
$0192F6  in func $0192EC  base $0192FA  kind=fallback_hybrid/offset_table
$01951A  in func $01951A  base $00D640  kind=static_target
$019540  in func $019540  base $00D640  kind=static_target
$019564  in func $01955A  base $019568  kind=fallback_hybrid/offset_table
$0195B8  in func $0195B8  base $00D640  kind=static_target
$0195F0  in func $0195DA  base $00D604  kind=static_target
$01968C  in func $01968C  base $00D640  kind=static_target
$01969C  in func $019692  base $0196A0  kind=fallback_hybrid/offset_table
$01975C  in func $01975C  base $00D604  kind=static_target
$01976E  in func $019762  base $00D604  kind=static_target
$019774  in func $019774  base $00D640  kind=static_target
$0197D8  in func $0197D4  base $00139C  kind=static_target
$01982C  in func $01982C  base $00D640  kind=static_target
$01983C  in func $019832  base $019840  kind=fallback_hybrid/offset_table
$019908  in func $0198F0  base $00D604  kind=static_target
$019934  in func $019934  base $00D5DE  kind=static_target
$0199DE  in func $0199D4  base $0199E2  kind=fallback_hybrid/offset_table
$0199FC  in func $0199FC  base $00D604  kind=static_target
$019B6A  in func $019B60  base $019B6E  kind=fallback_hybrid/offset_table
$019C30  in func $019C0C  base $00F9D6  kind=static_target
$019C7A  in func $019C72  base $00D604  kind=static_target
$019C8E  in func $019C80  base $00D604  kind=static_target
$019CF4  in func $019CEA  base $00D604  kind=static_target
$019D52  in func $019D52  base $00D640  kind=static_target
$019D62  in func $019D58  base $019D66  kind=fallback_hybrid/offset_table
$019E7A  in func $019E6C  base $00D604  kind=static_target
$019FA0  in func $019EA8  base $00A718  kind=static_target
$01A024  in func $01A020  base $00139C  kind=static_target
$01A18A  in func $01A166  base $00F9D6  kind=static_target
$01A2C0  in func $01A2A6  base $00D604  kind=static_target
$01A3A6  in func $01A38E  base $00D604  kind=static_target
$01A448  in func $01A448  base $00D640  kind=static_target
$01A458  in func $01A44E  base $01A45C  kind=fallback_hybrid/offset_table
$01A578  in func $01A4EA  base $00D604  kind=static_target
$01A7E4  in func $01A7DA  base $01A7E8  kind=fallback_hybrid/offset_table
$01A84A  in func $01A834  base $00D604  kind=static_target
$01A8A4  in func $01A86C  base $00D604  kind=static_target
$01A99A  in func $01A982  base $00D604  kind=static_target
$01AB4C  in func $01AB22  base $00D604  kind=static_target
$01AB52  in func $01AB22  base $00D640  kind=static_target
$01ABDA  in func $01ABC2  base $00F9D6  kind=static_target
$01AD64  in func $01AD4A  base $00D640  kind=static_target
$01B99C  in func $01B992  base $01B9A0  kind=fallback_hybrid/offset_table
$01BA16  in func $01B9F8  base $00D604  kind=static_target
$01BC2E  in func $01BBE0  base $00D604  kind=static_target
$01BC50  in func $01BC34  base $00D604  kind=static_target
$01BF20  in func $01BF1C  base $00139C  kind=static_target
$01BF6A  in func $01BF66  base $00139C  kind=static_target
$01BF9E  in func $01BF9A  base $00139C  kind=static_target
$01BFD4  in func $01BFCC  base $00139C  kind=static_target
$01C01A  in func $01C016  base $00139C  kind=static_target
$01C040  in func $01C024  base $01C046  kind=fallback_hybrid/offset_table
$01C552  in func $01C548  base $01C556  kind=fallback_hybrid/offset_table
$01C58E  in func $01C584  base $00D604  kind=static_target
$01C5AE  in func $01C584  base $00D604  kind=static_target
$01CF24  in func $01CF1A  base $01CF28  kind=fallback_hybrid/offset_table
$01CFD0  in func $01CFAE  base $00D604  kind=static_target
$071F94  in func $071F8E  base $071F98  kind=fallback_hybrid/function_entry
$072A60  in func $072A5A  base $072A64  kind=fallback_hybrid/function_entry
