# JMP-table dispatch audit
# total sites: 971
#
# Summary:
#   static_target            670  (JMP with statically resolved target — safe)
#   in_function_switch         4  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           1  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           5    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           291    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      0    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$00A89E  in func $00A894  base $00A8A2  kind=fallback_hybrid/offset_table
$00A992  in func $00A988  base $00A996  kind=fallback_hybrid/offset_table
$00A9FC  in func $00A9F2  base $00AA00  kind=fallback_hybrid/offset_table
$00AAB8  in func $00AAAE  base $00AABC  kind=fallback_hybrid/offset_table
$00ABEA  in func $00ABE2  base $00ABEE  kind=fallback_hybrid/offset_table
$00AC38  in func $00AC30  base $00AC3C  kind=fallback_hybrid/offset_table
$00BF68  in func $00BF68  base $016564  kind=static_target
$00BF6E  in func $00BF6E  base $016556  kind=static_target
$00BF74  in func $00BF74  base $001370  kind=static_target
$00BF7A  in func $00BF7A  base $03AFF0  kind=static_target
$00BF80  in func $00BF80  base $0165B4  kind=static_target
$00BF86  in func $00BF86  base $0014DE  kind=static_target
$00BF8C  in func $00BF8C  base $0017BC  kind=static_target
$00BF92  in func $00BF92  base $001208  kind=static_target
$00BF98  in func $00BF98  base $00135E  kind=static_target
$00BF9E  in func $00BF9E  base $036868  kind=static_target
$00BFA4  in func $00BFA4  base $00140E  kind=static_target
$00BFAA  in func $00BFAA  base $01641C  kind=static_target
$00BFB0  in func $00BFB0  base $0019DC  kind=static_target
$00BFB6  in func $00BFB6  base $03669A  kind=static_target
$00C292  in func $00C258  base $00C296  kind=fallback_hybrid/offset_table
$00C4F8  in func $00C4D0  base $00C4FC  kind=fallback_hybrid/offset_table
$00D30C  in func $00D27C  base $00D322  kind=in_function_switch targets=16
$00D6B6  in func $00D69E  base $00D6BC  kind=in_function_switch targets=16
$00E62C  in func $00E62C  base $00272E  kind=static_target
$00E632  in func $00E632  base $00161E  kind=static_target
$00E638  in func $00E638  base $00193A  kind=static_target
$00E6DA  in func $00E6D0  base $00E6DE  kind=fallback_hybrid/offset_table
$00E7D4  in func $00E7CA  base $00E7D8  kind=fallback_hybrid/offset_table
$00E8C8  in func $00E8B2  base $00E8CC  kind=fallback_hybrid/offset_table
$00EA08  in func $00E9F6  base $00EA0C  kind=fallback_hybrid/offset_table
$00EC68  in func $00EC5A  base $00EC6C  kind=fallback_hybrid/offset_table
$00F0E0  in func $00F0D6  base $00F0E4  kind=fallback_hybrid/offset_table
$00F1C0  in func $00F1B6  base $00F1C4  kind=fallback_hybrid/offset_table
$00F2F2  in func $00F2E8  base $00F2F6  kind=fallback_hybrid/offset_table
$00F3FA  in func $00F3F0  base $00F3FE  kind=fallback_hybrid/offset_table
$00F4C0  in func $00F4B6  base $00F4C4  kind=fallback_hybrid/offset_table
$00F552  in func $00F548  base $00F556  kind=fallback_hybrid/offset_table
$00F620  in func $00F60E  base $00F624  kind=fallback_hybrid/offset_table
$00F6BC  in func $00F6BC  base $018072  kind=static_target
$00F6C2  in func $00F6C2  base $001370  kind=static_target
$00F6C8  in func $00F6C8  base $00272E  kind=static_target
$00F6CE  in func $00F6CE  base $00161E  kind=static_target
$00F6D4  in func $00F6D4  base $00135E  kind=static_target
$00F6F0  in func $00F6DC  base $00F6FC  kind=fallback_hybrid/offset_table
$00FCF8  in func $00FCF8  base $018092  kind=static_target
$00FCFE  in func $00FCFE  base $019E34  kind=static_target
$00FD04  in func $00FD04  base $0033B6  kind=static_target
$00FD20  in func $00FD0C  base $00FD2C  kind=fallback_hybrid/offset_table
$010368  in func $010368  base $019D7A  kind=static_target
$01036E  in func $01036E  base $018092  kind=static_target
$010374  in func $010374  base $0033B6  kind=static_target
$01037A  in func $01037A  base $01EF98  kind=static_target
$01038A  in func $010380  base $01038E  kind=fallback_hybrid/offset_table
$010526  in func $01051C  base $01052A  kind=fallback_hybrid/offset_table
$0106B8  in func $0106A8  base $0106BC  kind=fallback_hybrid/offset_table
$010918  in func $010918  base $0033B6  kind=static_target
$01091E  in func $01091E  base $019CCA  kind=static_target
$010924  in func $010924  base $0197B0  kind=static_target
$010936  in func $01092C  base $01093A  kind=fallback_hybrid/offset_table
$010A82  in func $010A78  base $010A86  kind=fallback_hybrid/offset_table
$010C5C  in func $010BDC  base $001370  kind=static_target
$011238  in func $011238  base $019D22  kind=static_target
$01123E  in func $01123E  base $019CCA  kind=static_target
$01124E  in func $011244  base $011252  kind=fallback_hybrid/offset_table
$01136A  in func $011360  base $01136E  kind=fallback_hybrid/offset_table
$01163E  in func $011634  base $011642  kind=fallback_hybrid/offset_table
$011714  in func $01170A  base $011718  kind=fallback_hybrid/offset_table
$0118F4  in func $0118F4  base $0197B0  kind=static_target
$011906  in func $0118FC  base $01190A  kind=fallback_hybrid/offset_table
$011E40  in func $011E36  base $011E44  kind=fallback_hybrid/offset_table
$011FAC  in func $011FAC  base $003390  kind=static_target
$011FBE  in func $011FB4  base $011FC2  kind=fallback_hybrid/offset_table
$012086  in func $012044  base $001376  kind=static_target
$0120E2  in func $01208E  base $001376  kind=static_target
$0120F2  in func $0120E8  base $0120F6  kind=fallback_hybrid/offset_table
$012660  in func $012656  base $012664  kind=fallback_hybrid/offset_table
$0126D8  in func $0126D8  base $0033B6  kind=static_target
$0126EA  in func $0126E0  base $0126EE  kind=fallback_hybrid/offset_table
$0128CE  in func $0128C4  base $0128D2  kind=fallback_hybrid/offset_table
$012990  in func $012954  base $012994  kind=fallback_hybrid/offset_table
$0129BE  in func $0129AE  base $00135E  kind=static_target
$0129D4  in func $0129C4  base $00135E  kind=static_target
$012A3E  in func $0129DA  base $00135E  kind=static_target
$012A96  in func $012A92  base $00135E  kind=static_target
$012CBC  in func $012BC2  base $00135E  kind=static_target
$012E92  in func $012E88  base $012E96  kind=fallback_hybrid/offset_table
$012EE2  in func $012EC8  base $012EE6  kind=fallback_hybrid/offset_table
$0130E0  in func $0130D6  base $0130E4  kind=fallback_hybrid/offset_table
$01314E  in func $013144  base $013152  kind=fallback_hybrid/offset_table
$01318C  in func $013182  base $013190  kind=fallback_hybrid/offset_table
$0131C4  in func $0131BA  base $0131C8  kind=fallback_hybrid/offset_table
$01327A  in func $013270  base $01327E  kind=fallback_hybrid/offset_table
$0132C6  in func $0132BC  base $0132CA  kind=fallback_hybrid/offset_table
$01330E  in func $013304  base $013312  kind=fallback_hybrid/offset_table
$01336A  in func $013360  base $01336E  kind=fallback_hybrid/offset_table
$013CAC  in func $013CAC  base $001370  kind=static_target
$013CB2  in func $013CB2  base $00135E  kind=static_target
$013CC2  in func $013CB8  base $013CC6  kind=fallback_hybrid/offset_table
$013FEE  in func $013FE4  base $013FF2  kind=fallback_hybrid/offset_table
$014100  in func $0140F6  base $014104  kind=fallback_hybrid/offset_table
$0142DA  in func $0142C6  base $001370  kind=static_target
$01443C  in func $014430  base $014440  kind=fallback_hybrid/offset_table
$014686  in func $0145F0  base $001370  kind=static_target
$0146CA  in func $014696  base $001370  kind=static_target
$015958  in func $015958  base $0014DE  kind=static_target
$01595E  in func $01595E  base $0014F0  kind=static_target
$015964  in func $015964  base $00161E  kind=static_target
$01596A  in func $01596A  base $008476  kind=static_target
$01597A  in func $015970  base $01597E  kind=fallback_hybrid/offset_table
$015B42  in func $015B36  base $015B46  kind=fallback_hybrid/offset_table
$015D42  in func $015D38  base $015D46  kind=fallback_hybrid/offset_table
$015EF6  in func $015EF2  base $001370  kind=static_target
$016FF4  in func $016FF4  base $04089C  kind=static_target
$016FFA  in func $016FFA  base $0408F2  kind=static_target
$017000  in func $017000  base $040A5E  kind=static_target
$017012  in func $017008  base $017016  kind=fallback_hybrid/offset_table
$01745E  in func $017454  base $017462  kind=fallback_hybrid/offset_table
$017602  in func $0175FC  base $017612  kind=fallback_hybrid/offset_table
$0178AC  in func $017892  base $001370  kind=static_target
$017B46  in func $017B3C  base $017B4A  kind=fallback_hybrid/offset_table
$01892E  in func $018920  base $016442  kind=static_target
$018972  in func $018940  base $018976  kind=fallback_hybrid/offset_table
$018B02  in func $018AFE  base $001370  kind=static_target
$018C58  in func $018C42  base $001370  kind=static_target
$018DFC  in func $018DE6  base $001370  kind=static_target
$018F30  in func $018F2C  base $001370  kind=static_target
$01903C  in func $019038  base $001370  kind=static_target
$0193F2  in func $0193E8  base $0193F6  kind=fallback_hybrid/offset_table
$019FEE  in func $019FE8  base $041B10  kind=static_target
$019FFE  in func $019FF4  base $01A002  kind=fallback_hybrid/offset_table
$01A1EC  in func $01A1E2  base $00135E  kind=static_target
$01A290  in func $01A226  base $001370  kind=static_target
$01A300  in func $01A296  base $001370  kind=static_target
$01AC36  in func $01ABD0  base $00135E  kind=static_target
$01B216  in func $01B1D2  base $016564  kind=static_target
$01B278  in func $01B262  base $016564  kind=static_target
$01B2AE  in func $01B27E  base $016564  kind=static_target
$01B320  in func $01B306  base $00161E  kind=static_target
$01B3E2  in func $01B3C8  base $016564  kind=static_target
$01B934  in func $01B934  base $03F9BE  kind=static_target
$01B960  in func $01B93C  base $01B964  kind=fallback_hybrid/offset_table
$01BB64  in func $01BB34  base $00135E  kind=static_target
$01BB88  in func $01BB6C  base $01BB8C  kind=fallback_hybrid/offset_table
$01C044  in func $01BFF2  base $001370  kind=static_target
$01C09C  in func $01C04A  base $001370  kind=static_target
$01CC9A  in func $01CC5E  base $016564  kind=static_target
$01CCFE  in func $01CCE8  base $016564  kind=static_target
$01CD7E  in func $01CD64  base $00161E  kind=static_target
$01CE56  in func $01CE3C  base $016564  kind=static_target
$01D2A2  in func $01D298  base $01D2A6  kind=fallback_hybrid/offset_table
$01D3B0  in func $01D3B0  base $03F9BE  kind=static_target
$01D3C2  in func $01D3B8  base $01D3C6  kind=fallback_hybrid/offset_table
$01D49A  in func $01D462  base $016564  kind=static_target
$01D4A0  in func $01D462  base $016556  kind=static_target
$01D4C0  in func $01D4B2  base $016564  kind=static_target
$01D4C6  in func $01D4C6  base $016556  kind=static_target
$01D500  in func $01D4EA  base $016564  kind=static_target
$01D506  in func $01D506  base $016556  kind=static_target
$01D994  in func $01D98A  base $01D998  kind=fallback_hybrid/offset_table
$01DA08  in func $01D9FC  base $016564  kind=static_target
$01DA10  in func $01DA10  base $016556  kind=static_target
$01DA20  in func $01DA16  base $01DA24  kind=fallback_hybrid/offset_table
$01DDC2  in func $01DDB8  base $01DDC6  kind=fallback_hybrid/offset_table
$01DE38  in func $01DE28  base $01DE3C  kind=fallback_hybrid/offset_table
$01DED0  in func $01DEC0  base $016564  kind=static_target
$01E192  in func $01E188  base $01E196  kind=fallback_hybrid/offset_table
$01E21A  in func $01E21A  base $016564  kind=static_target
$01E250  in func $01E250  base $016556  kind=static_target
$01F156  in func $01F14C  base $01F15A  kind=fallback_hybrid/offset_table
$01F2D2  in func $01F2C8  base $016442  kind=static_target
$01F2F4  in func $01F2D8  base $016556  kind=static_target
$01F32A  in func $01F2FA  base $016442  kind=static_target
$01F6A0  in func $01F6A0  base $016556  kind=static_target
$01F6A8  in func $01F6A8  base $016442  kind=static_target
$01F6AE  in func $01F6AE  base $0165B4  kind=static_target
$01F6B4  in func $01F6B4  base $016DEE  kind=static_target
$01F6C6  in func $01F6BC  base $01F6CA  kind=fallback_hybrid/offset_table
$01F764  in func $01F750  base $016556  kind=static_target
$01F78A  in func $01F772  base $016564  kind=static_target
$01F790  in func $01F772  base $016556  kind=static_target
$01F7C0  in func $01F7C0  base $016DEE  kind=static_target
$01F7D2  in func $01F7C8  base $01F7D6  kind=fallback_hybrid/offset_table
$01F92C  in func $01F8D6  base $016442  kind=static_target
$01F932  in func $01F932  base $0165B4  kind=static_target
$01F938  in func $01F938  base $016DEE  kind=static_target
$01F94A  in func $01F940  base $01F94E  kind=fallback_hybrid/offset_table
$01FA2A  in func $01FA20  base $016564  kind=static_target
$01FA30  in func $01FA20  base $016556  kind=static_target
$01FA48  in func $01FA36  base $016564  kind=static_target
$01FA4E  in func $01FA36  base $016556  kind=static_target
$01FD5C  in func $01FD5C  base $016564  kind=static_target
$01FD62  in func $01FD62  base $016556  kind=static_target
$01FD68  in func $01FD68  base $016DEE  kind=static_target
$01FD6E  in func $01FD6E  base $01641C  kind=static_target
$01FD82  in func $01FD74  base $0164AE  kind=static_target
$02012C  in func $02012C  base $016DEE  kind=static_target
$02013E  in func $020134  base $020142  kind=fallback_hybrid/offset_table
$02029C  in func $0201D4  base $016442  kind=static_target
$0202A2  in func $0202A2  base $016DEE  kind=static_target
$0202B2  in func $0202A8  base $0202B6  kind=fallback_hybrid/offset_table
$0203A0  in func $02037E  base $016442  kind=static_target
$0203A6  in func $0203A6  base $016DEE  kind=static_target
$0203AC  in func $0203AC  base $0033B6  kind=static_target
$0203BE  in func $0203B4  base $0203C2  kind=fallback_hybrid/offset_table
$020430  in func $0203EE  base $016564  kind=static_target
$020436  in func $0203EE  base $016556  kind=static_target
$02043C  in func $02043C  base $016DEE  kind=static_target
$02044E  in func $020444  base $020452  kind=fallback_hybrid/offset_table
$02095C  in func $02095C  base $016564  kind=static_target
$020962  in func $020962  base $016556  kind=static_target
$020968  in func $020968  base $016E0A  kind=static_target
$02096E  in func $02096E  base $016DEE  kind=static_target
$02097E  in func $020974  base $020982  kind=fallback_hybrid/offset_table
$020C40  in func $020C36  base $020C44  kind=fallback_hybrid/offset_table
$020E8E  in func $020E84  base $020E92  kind=fallback_hybrid/offset_table
$020F82  in func $020F78  base $020F86  kind=fallback_hybrid/offset_table
$021074  in func $02106A  base $021078  kind=fallback_hybrid/offset_table
$02112A  in func $021120  base $02112E  kind=fallback_hybrid/offset_table
$021202  in func $0211F4  base $0164AE  kind=static_target
$021438  in func $02142A  base $0164AE  kind=static_target
$021544  in func $021544  base $016564  kind=static_target
$02154A  in func $02154A  base $016556  kind=static_target
$021550  in func $021550  base $018072  kind=static_target
$021556  in func $021556  base $016DEE  kind=static_target
$021586  in func $021572  base $016556  kind=static_target
$0219B8  in func $0219B8  base $0033B6  kind=static_target
$021CEE  in func $021CC4  base $001370  kind=static_target
$021E2C  in func $021E2C  base $018092  kind=static_target
$021E32  in func $021E32  base $016DEE  kind=static_target
$021E38  in func $021E38  base $0163F0  kind=static_target
$021E3E  in func $021E3E  base $01647A  kind=static_target
$021E4E  in func $021E44  base $021E52  kind=fallback_hybrid/offset_table
$021ECE  in func $021EC4  base $021ED2  kind=fallback_hybrid/offset_table
$022090  in func $022090  base $016442  kind=static_target
$022096  in func $022096  base $018092  kind=static_target
$02209C  in func $02209C  base $016DEE  kind=static_target
$0220A2  in func $0220A2  base $019CCA  kind=static_target
$0220A8  in func $0220A8  base $01641C  kind=static_target
$0220BA  in func $0220B0  base $0220BE  kind=fallback_hybrid/offset_table
$022190  in func $022180  base $022194  kind=fallback_hybrid/offset_table
$022324  in func $022324  base $016564  kind=static_target
$02232A  in func $02232A  base $016556  kind=static_target
$022330  in func $022330  base $016DEE  kind=static_target
$022336  in func $022336  base $019CCA  kind=static_target
$02233C  in func $02233C  base $01641C  kind=static_target
$02234E  in func $022344  base $022352  kind=fallback_hybrid/offset_table
$022474  in func $022470  base $001370  kind=static_target
$022494  in func $022494  base $016442  kind=static_target
$02249A  in func $02249A  base $016DEE  kind=static_target
$0224AA  in func $0224A0  base $0224AE  kind=fallback_hybrid/offset_table
$02261C  in func $02261C  base $016442  kind=static_target
$022622  in func $022622  base $018092  kind=static_target
$022628  in func $022628  base $016E0A  kind=static_target
$02262E  in func $02262E  base $01641C  kind=static_target
$022688  in func $022680  base $02268C  kind=fallback_hybrid/offset_table
$022850  in func $02283E  base $001370  kind=static_target
$0228FC  in func $0228F0  base $001370  kind=static_target
$023088  in func $023088  base $0164AE  kind=static_target
$02309A  in func $023090  base $02309E  kind=fallback_hybrid/offset_table
$023374  in func $023374  base $016556  kind=static_target
$02337A  in func $02337A  base $016442  kind=static_target
$023380  in func $023380  base $018092  kind=static_target
$023386  in func $023386  base $0165B4  kind=static_target
$02338C  in func $02338C  base $016DEE  kind=static_target
$023392  in func $023392  base $01641C  kind=static_target
$0233A2  in func $023398  base $0233A6  kind=fallback_hybrid/offset_table
$0235BC  in func $0235B2  base $0235C0  kind=fallback_hybrid/offset_table
$023944  in func $023944  base $016564  kind=static_target
$02394A  in func $02394A  base $016556  kind=static_target
$023950  in func $023950  base $018072  kind=static_target
$023956  in func $023956  base $016442  kind=static_target
$02395C  in func $02395C  base $016DEE  kind=static_target
$023962  in func $023962  base $015E88  kind=static_target
$023968  in func $023968  base $0197B0  kind=static_target
$02396E  in func $02396E  base $01641C  kind=static_target
$02397E  in func $023974  base $023982  kind=fallback_hybrid/offset_table
$023B68  in func $023B68  base $016556  kind=static_target
$023B6E  in func $023B6E  base $03F8FA  kind=static_target
$023B74  in func $023B74  base $0164AE  kind=static_target
$023B7A  in func $023B7A  base $019F88  kind=static_target
$023B80  in func $023B80  base $019810  kind=static_target
$023B86  in func $023B86  base $019868  kind=static_target
$023B96  in func $023B8C  base $023B9A  kind=fallback_hybrid/offset_table
$023EC4  in func $023EC4  base $016442  kind=static_target
$023ECA  in func $023ECA  base $018092  kind=static_target
$023ED0  in func $023ED0  base $0197B0  kind=static_target
$023EE2  in func $023ED8  base $023EE6  kind=fallback_hybrid/offset_table
$023FC8  in func $023FA2  base $016564  kind=static_target
$023FEE  in func $023FDC  base $016556  kind=static_target
$023FF8  in func $023FF4  base $016564  kind=static_target
$0240AC  in func $0240AC  base $018092  kind=static_target
$0240B2  in func $0240B2  base $016DEE  kind=static_target
$0240C2  in func $0240B8  base $0240C6  kind=fallback_hybrid/offset_table
$024184  in func $024184  base $03F9BE  kind=static_target
$02418A  in func $02418A  base $019CE0  kind=static_target
$0241DA  in func $0241A8  base $0241DE  kind=fallback_hybrid/offset_table
$02430A  in func $024306  base $001370  kind=static_target
$024562  in func $024552  base $001370  kind=static_target
$024AB8  in func $024AAE  base $024ABC  kind=fallback_hybrid/offset_table
$024D5C  in func $024D5C  base $016556  kind=static_target
$024D62  in func $024D62  base $018072  kind=static_target
$024D68  in func $024D68  base $016442  kind=static_target
$024D6E  in func $024D6E  base $016DEE  kind=static_target
$024D74  in func $024D74  base $0197B0  kind=static_target
$024D7A  in func $024D7A  base $019826  kind=static_target
$024D80  in func $024D80  base $019918  kind=static_target
$024D86  in func $024D86  base $01641C  kind=static_target
$024D96  in func $024D8C  base $024D9A  kind=fallback_hybrid/offset_table
$024E54  in func $024DCA  base $016442  kind=static_target
$024E5A  in func $024E5A  base $016DEE  kind=static_target
$024E60  in func $024E60  base $0197B0  kind=static_target
$024E72  in func $024E68  base $024E76  kind=fallback_hybrid/offset_table
$025014  in func $02500C  base $025018  kind=fallback_hybrid/offset_table
$0252A4  in func $0252A4  base $016564  kind=static_target
$0252AA  in func $0252AA  base $016556  kind=static_target
$0252B0  in func $0252B0  base $016442  kind=static_target
$0252B6  in func $0252B6  base $018092  kind=static_target
$0252BC  in func $0252BC  base $0164AE  kind=static_target
$0252C2  in func $0252C2  base $016DEE  kind=static_target
$0252C8  in func $0252C8  base $015E88  kind=static_target
$0252CE  in func $0252CE  base $0197B0  kind=static_target
$0252D4  in func $0252D4  base $01641C  kind=static_target
$02537C  in func $025374  base $025380  kind=fallback_hybrid/offset_table
$025718  in func $025718  base $016564  kind=static_target
$02571E  in func $02571E  base $016442  kind=static_target
$025724  in func $025724  base $016DEE  kind=static_target
$025736  in func $02572C  base $02573A  kind=fallback_hybrid/offset_table
$025900  in func $025900  base $016556  kind=static_target
$025906  in func $025906  base $018072  kind=static_target
$02590C  in func $02590C  base $016442  kind=static_target
$025912  in func $025912  base $0165B4  kind=static_target
$025918  in func $025918  base $016DEE  kind=static_target
$02591E  in func $02591E  base $01641C  kind=static_target
$02592E  in func $025924  base $025932  kind=fallback_hybrid/offset_table
$0259EA  in func $0259E0  base $0259EE  kind=fallback_hybrid/offset_table
$025AFC  in func $025AF2  base $025B00  kind=fallback_hybrid/offset_table
$025BCA  in func $025BC0  base $025BCE  kind=fallback_hybrid/offset_table
$025D00  in func $025CFC  base $001370  kind=static_target
$026170  in func $026170  base $016564  kind=static_target
$026176  in func $026176  base $016556  kind=static_target
$02617C  in func $02617C  base $016442  kind=static_target
$026182  in func $026182  base $018092  kind=static_target
$026188  in func $026188  base $016DEE  kind=static_target
$02618E  in func $02618E  base $0197B0  kind=static_target
$026194  in func $026194  base $01641C  kind=static_target
$0261A6  in func $02619C  base $0261AA  kind=fallback_hybrid/offset_table
$026318  in func $026310  base $001370  kind=static_target
$0263E8  in func $02632E  base $016564  kind=static_target
$0263EE  in func $0263EE  base $016556  kind=static_target
$0263F4  in func $0263F4  base $018072  kind=static_target
$0263FA  in func $0263FA  base $003390  kind=static_target
$026400  in func $026400  base $0033B6  kind=static_target
$0265E2  in func $0265DE  base $001370  kind=static_target
$0266B4  in func $0266B4  base $016442  kind=static_target
$0266BA  in func $0266BA  base $0165B4  kind=static_target
$0266C0  in func $0266C0  base $016DEE  kind=static_target
$0266C6  in func $0266C6  base $01987E  kind=static_target
$0266D6  in func $0266CC  base $0266DA  kind=fallback_hybrid/offset_table
$0268CC  in func $0268A0  base $001370  kind=static_target
$026994  in func $0268D2  base $016564  kind=static_target
$02699A  in func $0268D2  base $016556  kind=static_target
$0269A0  in func $0269A0  base $018072  kind=static_target
$0269A6  in func $0269A6  base $016442  kind=static_target
$0269AC  in func $0269AC  base $016DEE  kind=static_target
$0269B2  in func $0269B2  base $019826  kind=static_target
$0269C2  in func $0269B8  base $0269C6  kind=fallback_hybrid/offset_table
$026A80  in func $026A3A  base $016564  kind=static_target
$026A86  in func $026A3A  base $016556  kind=static_target
$026B6C  in func $026B6C  base $016DEE  kind=static_target
$026B72  in func $026B72  base $0197B0  kind=static_target
$026B82  in func $026B78  base $026B86  kind=fallback_hybrid/offset_table
$026CF8  in func $026CB4  base $016564  kind=static_target
$026D10  in func $026CFE  base $016556  kind=static_target
$026FD8  in func $026FD8  base $016442  kind=static_target
$026FDE  in func $026FDE  base $018092  kind=static_target
$026FE4  in func $026FE4  base $016DEE  kind=static_target
$026FEA  in func $026FEA  base $0197B0  kind=static_target
$026FFA  in func $026FF0  base $026FFE  kind=fallback_hybrid/offset_table
$0271B2  in func $027174  base $001370  kind=static_target
$0271E0  in func $0271E0  base $016556  kind=static_target
$0271E6  in func $0271E6  base $016DEE  kind=static_target
$0271EC  in func $0271EC  base $019826  kind=static_target
