# JMP-table dispatch audit
# total sites: 5450
#
# Summary:
#   static_target           5142  (JMP with statically resolved target — safe)
#   in_function_switch         0  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register          56  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry          99    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           151    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      2    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$00B6C0  in func $00B6A6  base $01ABC6  kind=static_target
$00B9C6  in func $00B9C2  base $00B4F6  kind=static_target
$00BF50  in func $00BF50  base $01ABC6  kind=static_target
$00C52C  in func $00C524  base $00C3E4  kind=static_target
$00C568  in func $00C560  base $00C3E4  kind=static_target
$00C860  in func $00C856  base $001380  kind=static_target
$00D304  in func $00D2F8  base $01ABC6  kind=static_target
$00D370  in func $00D30C  base $01ABC6  kind=static_target
$00D5F8  in func $00D5DE  base $01ABC6  kind=static_target
$00D674  in func $00D5FE  base $01ABC6  kind=static_target
$00D6CA  in func $00D6CA  base $01ABC6  kind=static_target
$00D77C  in func $00D774  base $01ABC6  kind=static_target
$00D788  in func $00D782  base $00D78C  kind=fallback_hybrid/function_entry
$00D84E  in func $00D83C  base $01ABC6  kind=static_target
$00D8BE  in func $00D8BE  base $01ABC6  kind=static_target
$00D90C  in func $00D90C  base $01ABC6  kind=static_target
$00DBAC  in func $00DB92  base $01AF88  kind=static_target
$00DCFE  in func $00DCCA  base $001358  kind=static_target
$00E8B4  in func $00E8AA  base $00E8B8  kind=fallback_hybrid/offset_table
$00EAEA  in func $00EAE6  base $01A596  kind=static_target
$0105EC  in func $0105E6  base $092A36  kind=static_target
$010618  in func $01060E  base $01061C  kind=fallback_hybrid/offset_table
$010AD2  in func $010ACE  base $01ABC6  kind=static_target
$010AD8  in func $010AD8  base $092A36  kind=static_target
$010AE8  in func $010ADE  base $010AEC  kind=fallback_hybrid/offset_table
$010D3A  in func $010D32  base $0013C2  kind=static_target
$010EA0  in func $010E82  base $001380  kind=static_target
$010F26  in func $010F22  base $001380  kind=static_target
$01172C  in func $01172C  base $010366  kind=static_target
$011974  in func $011958  base $001380  kind=static_target
$01199C  in func $01197A  base $001380  kind=static_target
$0119CC  in func $0119A2  base $001380  kind=static_target
$011A0E  in func $0119F6  base $001380  kind=static_target
$011A90  in func $011A16  base $001358  kind=static_target
$0122B8  in func $0122AA  base $001380  kind=static_target
$012312  in func $012302  base $01ABC6  kind=static_target
$01238A  in func $01238A  base $010366  kind=static_target
$0123BC  in func $0123AA  base $01ABC6  kind=static_target
$012492  in func $012478  base $001746  kind=static_target
$0125A6  in func $0125A2  base $01ABC6  kind=static_target
$0125DA  in func $0125C6  base $01ABC6  kind=static_target
$01312A  in func $013124  base $092A36  kind=static_target
$013156  in func $01314C  base $01315A  kind=fallback_hybrid/offset_table
$0136A2  in func $01369E  base $01ABC6  kind=static_target
$0136A8  in func $0136A8  base $092A36  kind=static_target
$0136B8  in func $0136AE  base $0136BC  kind=fallback_hybrid/offset_table
$0139A0  in func $013998  base $0013C2  kind=static_target
$0139E8  in func $0139DC  base $0139EC  kind=fallback_hybrid/offset_table
$0146B4  in func $01469C  base $001380  kind=static_target
$014742  in func $01473E  base $001380  kind=static_target
$014F56  in func $014F56  base $010366  kind=static_target
$0151F6  in func $0151A4  base $001358  kind=static_target
$015710  in func $015700  base $01ABC6  kind=static_target
$015788  in func $015788  base $010366  kind=static_target
$0157DA  in func $0157C8  base $01ABC6  kind=static_target
$01580A  in func $015806  base $01ABC6  kind=static_target
$01583C  in func $015828  base $01ABC6  kind=static_target
$01615E  in func $01615A  base $01ABC6  kind=static_target
$01629A  in func $01628C  base $01ABC6  kind=static_target
$016482  in func $01647E  base $01ABC6  kind=static_target
$016488  in func $016488  base $092A36  kind=static_target
$016498  in func $01648E  base $01649C  kind=fallback_hybrid/offset_table
$0166E6  in func $0166DE  base $0013C2  kind=static_target
$016768  in func $01674A  base $001380  kind=static_target
$0167EE  in func $0167EA  base $001380  kind=static_target
$017938  in func $0178CE  base $001358  kind=static_target
$017C0A  in func $017BFA  base $01ABC6  kind=static_target
$017C82  in func $017C82  base $010366  kind=static_target
$017CB4  in func $017CA2  base $01ABC6  kind=static_target
$017CE4  in func $017CE0  base $01ABC6  kind=static_target
$017D18  in func $017D04  base $01ABC6  kind=static_target
$01816E  in func $018164  base $018172  kind=fallback_hybrid/offset_table
$018248  in func $018218  base $01ABC6  kind=static_target
$01824E  in func $01824E  base $01ABB6  kind=static_target
$018266  in func $018254  base $01ABC6  kind=static_target
$01826C  in func $01826C  base $01ABB6  kind=static_target
$0182A6  in func $018290  base $01ABC6  kind=static_target
$0182AC  in func $0182AC  base $01ABB6  kind=static_target
$0182CC  in func $0182B2  base $01ABC6  kind=static_target
$018760  in func $018756  base $018764  kind=fallback_hybrid/offset_table
$0187D0  in func $0187C4  base $01ABC6  kind=static_target
$0187D8  in func $0187D8  base $01ABB6  kind=static_target
$018B48  in func $018B3E  base $018B4C  kind=fallback_hybrid/offset_table
$018BBA  in func $018BAA  base $018BBE  kind=fallback_hybrid/offset_table
$018C1A  in func $018C04  base $01ABC6  kind=static_target
$018CA4  in func $018C94  base $01ABC6  kind=static_target
$018F90  in func $018F86  base $018F94  kind=fallback_hybrid/offset_table
$018FE2  in func $018FD2  base $018FE6  kind=fallback_hybrid/offset_table
$019052  in func $019046  base $01ABC6  kind=static_target
$0191FA  in func $0191FA  base $01ABC6  kind=static_target
$019230  in func $019230  base $01ABB6  kind=static_target
$0192C6  in func $0192C0  base $01ABB6  kind=static_target
$019480  in func $019480  base $01ABC6  kind=static_target
$019486  in func $019486  base $01ABB6  kind=static_target
$01959E  in func $01952A  base $01ABC6  kind=static_target
$01968A  in func $019602  base $01ABC6  kind=static_target
$0197BE  in func $01979A  base $01ABC6  kind=static_target
$019892  in func $019874  base $01ABC6  kind=static_target
$019898  in func $019898  base $01ABB6  kind=static_target
$019984  in func $019922  base $01ABC6  kind=static_target
$01A270  in func $01A228  base $01ABC6  kind=static_target
$01A28C  in func $01A276  base $01ABB6  kind=static_target
$01A35A  in func $01A31E  base $01052E  kind=static_target
$01A524  in func $01A51A  base $01A528  kind=fallback_hybrid/offset_table
$01A5E2  in func $01A5D8  base $001358  kind=static_target
$01A5E8  in func $01A5E8  base $001380  kind=static_target
$01A63E  in func $01A638  base $001358  kind=static_target
$01A644  in func $01A644  base $001380  kind=static_target
$01A654  in func $01A64A  base $01A658  kind=fallback_hybrid/offset_table
$01A66C  in func $01A662  base $01A670  kind=fallback_hybrid/offset_table
$01A98C  in func $01A988  base $01AB52  kind=static_target
$01A9F8  in func $01A9EE  base $01A9FC  kind=fallback_hybrid/offset_table
$01B6B2  in func $01B6AC  base $01B6B6  kind=fallback_hybrid/function_entry
$01C2C6  in func $01C2C6  base $04E378  kind=static_target
$01C47C  in func $01C472  base $01C480  kind=fallback_hybrid/offset_table
$01C648  in func $01C63E  base $01C64C  kind=fallback_hybrid/offset_table
$01C8A4  in func $01C89A  base $01C8A8  kind=fallback_hybrid/offset_table
$01C91C  in func $01C912  base $01C920  kind=fallback_hybrid/offset_table
$01C942  in func $01C938  base $01C946  kind=fallback_hybrid/offset_table
$01C9F2  in func $01C9E8  base $01C9F6  kind=fallback_hybrid/offset_table
$01CA34  in func $01CA2A  base $01CA38  kind=fallback_hybrid/offset_table
$01CA66  in func $01CA5C  base $01CA6A  kind=fallback_hybrid/offset_table
$01CAF2  in func $01CAE8  base $01CAF6  kind=fallback_hybrid/offset_table
$01CDC2  in func $01CDA6  base $01B5F0  kind=static_target
$01CDC8  in func $01CDC8  base $01B5A4  kind=static_target
$01CDF0  in func $01CDCE  base $01ABC6  kind=static_target
$01CF2A  in func $01CF0E  base $01B5F0  kind=static_target
$01CF30  in func $01CF30  base $01B5A4  kind=static_target
$01CF58  in func $01CF36  base $01ABC6  kind=static_target
$01D1F2  in func $01D1D6  base $01B5F0  kind=static_target
$01D1F8  in func $01D1F8  base $01B5A4  kind=static_target
$01D3C8  in func $01D3AC  base $01B5F0  kind=static_target
$01D3CE  in func $01D3CE  base $01B5A4  kind=static_target
$01D58C  in func $01D582  base $01D590  kind=fallback_hybrid/offset_table
$01D7E0  in func $01D7D6  base $01D7E4  kind=fallback_hybrid/offset_table
$01D894  in func $01D888  base $01D898  kind=fallback_hybrid/offset_table
$01D8AE  in func $01D8AC  base $02429C  kind=static_target
$01D8C2  in func $01D8B4  base $001358  kind=static_target
$01D914  in func $01D912  base $001358  kind=static_target
$01D96A  in func $01D968  base $0013C2  kind=static_target
$01DB42  in func $01DA7C  base $001358  kind=static_target
$01E606  in func $01E5FC  base $01E60A  kind=fallback_hybrid/offset_table
$01E6A4  in func $01E6A4  base $01ABC6  kind=static_target
$01E702  in func $01E702  base $01ABC6  kind=static_target
$01E76E  in func $01E76E  base $01ABC6  kind=static_target
$01E7CC  in func $01E7CC  base $01B5A4  kind=static_target
$01E7F8  in func $01E7F8  base $01B5A4  kind=static_target
$01E8D6  in func $01E8D6  base $01B5F0  kind=static_target
$01E8DC  in func $01E8DC  base $01B5A4  kind=static_target
$01EA24  in func $01EA24  base $01B5F0  kind=static_target
$01EA2A  in func $01EA2A  base $01B5A4  kind=static_target
$01EBD2  in func $01EBD2  base $01ABB6  kind=static_target
$01ECBE  in func $01EC88  base $01ABC6  kind=static_target
$01EF7A  in func $01EF72  base $01ABC6  kind=static_target
$01F218  in func $01F216  base $001380  kind=static_target
$01F4D8  in func $01F4BE  base $01ABC6  kind=static_target
$01F53C  in func $01F522  base $01ABC6  kind=static_target
$01F5A0  in func $01F586  base $01ABC6  kind=static_target
$01F680  in func $01F666  base $01ABC6  kind=static_target
$01F6E4  in func $01F6CA  base $01ABC6  kind=static_target
$01F748  in func $01F72E  base $01ABC6  kind=static_target
$01F7CE  in func $01F7CE  base $01B5F0  kind=static_target
$01F9B0  in func $01F958  base $012D22  kind=static_target
$01FB72  in func $01FB68  base $01B5CC  kind=static_target
$01FB78  in func $01FB78  base $01ABC6  kind=static_target
$01FC70  in func $01FC5E  base $01ABC6  kind=static_target
$01FC76  in func $01FC76  base $01ABB6  kind=static_target
$01FCB2  in func $01FCA0  base $01ABC6  kind=static_target
$01FCDE  in func $01FCCA  base $01ABC6  kind=static_target
$01FD1E  in func $01FD1E  base $01ABC6  kind=static_target
$01FD5E  in func $01FD54  base $01B5CC  kind=static_target
$01FD64  in func $01FD64  base $01ABC6  kind=static_target
$01FF9A  in func $01FF64  base $01B5CC  kind=static_target
$01FFDA  in func $01FFD6  base $01B5CC  kind=static_target
$02004C  in func $02004C  base $01B5A4  kind=static_target
$0201DA  in func $0201D8  base $001380  kind=static_target
$020284  in func $020282  base $001380  kind=static_target
$020A86  in func $020A72  base $01ABC6  kind=static_target
$020A8C  in func $020A8C  base $01ABB6  kind=static_target
$020B8A  in func $020B8A  base $01ABC6  kind=static_target
$020B9C  in func $020B90  base $01ABC6  kind=static_target
$020BA2  in func $020BA2  base $01ABB6  kind=static_target
$020CCC  in func $020CB4  base $001380  kind=static_target
$021356  in func $021338  base $01ABB6  kind=static_target
$0215BA  in func $021584  base $01ABB6  kind=static_target
$0215C8  in func $0215C8  base $01B5A4  kind=static_target
$0216C0  in func $0216AE  base $01ABC6  kind=static_target
$0216C6  in func $0216C6  base $01ABB6  kind=static_target
$021804  in func $021804  base $01B5A4  kind=static_target
$02186A  in func $021834  base $01ABB6  kind=static_target
$021878  in func $021878  base $01B5A4  kind=static_target
$021F68  in func $021F54  base $01ABC6  kind=static_target
$021F96  in func $021F96  base $01ABB6  kind=static_target
$021FFE  in func $021FDA  base $01ABC6  kind=static_target
$02202A  in func $022004  base $01ABC6  kind=static_target
$022056  in func $022030  base $01ABC6  kind=static_target
$0220D6  in func $0220D6  base $01ABC6  kind=static_target
$022472  in func $02245E  base $01ABC6  kind=static_target
$0224A0  in func $0224A0  base $01ABB6  kind=static_target
$0224D2  in func $0224A6  base $01ABC6  kind=static_target
$022534  in func $02251A  base $01ABC6  kind=static_target
$022560  in func $02253A  base $01ABC6  kind=static_target
$0225E4  in func $0225E4  base $01ABC6  kind=static_target
$022854  in func $022840  base $01ABC6  kind=static_target
$022882  in func $022882  base $01ABB6  kind=static_target
$0228AE  in func $022888  base $01ABC6  kind=static_target
$02292E  in func $02292E  base $01ABC6  kind=static_target
$022D62  in func $022D22  base $022D66  kind=fallback_hybrid/offset_table
$022F5C  in func $022F50  base $01B5A4  kind=static_target
$022FAE  in func $022FA2  base $01ABC6  kind=static_target
$023066  in func $023064  base $001380  kind=static_target
$0230F4  in func $0230E0  base $01B5CC  kind=static_target
$023176  in func $02316A  base $01ABC6  kind=static_target
$023282  in func $023268  base $001380  kind=static_target
$02338A  in func $02337E  base $01B5A4  kind=static_target
$0233E0  in func $0233D4  base $01ABC6  kind=static_target
$0234A6  in func $023488  base $001380  kind=static_target
$0234FC  in func $0234EC  base $01B5CC  kind=static_target
$0235E8  in func $0235E6  base $001380  kind=static_target
$02363A  in func $02362A  base $01B5CC  kind=static_target
$023700  in func $0236FE  base $001380  kind=static_target
$023A12  in func $023A00  base $023A16  kind=fallback_hybrid/offset_table
$023C3C  in func $023C2E  base $023C40  kind=fallback_hybrid/offset_table
$023F40  in func $023F22  base $01ABC6  kind=static_target
$0240F8  in func $0240F4  base $01B5CC  kind=static_target
$024154  in func $024150  base $01B5CC  kind=static_target
$0241A4  in func $0241A0  base $01B5CC  kind=static_target
$0241F2  in func $0241F2  base $01ABC6  kind=static_target
$02424A  in func $02424A  base $01ABC6  kind=static_target
$024296  in func $024296  base $01ABC6  kind=static_target
$0242DC  in func $0242D2  base $0242E0  kind=fallback_hybrid/offset_table
$0243E0  in func $0243D6  base $0243E4  kind=fallback_hybrid/offset_table
$024DB0  in func $024DB0  base $01ABB6  kind=static_target
$024F4C  in func $024F38  base $01ABC6  kind=static_target
$024F6E  in func $024F6E  base $01ABB6  kind=static_target
$0253F8  in func $0253DE  base $01ABC6  kind=static_target
$025658  in func $025644  base $01ABC6  kind=static_target
$02566A  in func $02566A  base $01ABB6  kind=static_target
$025774  in func $025740  base $01ABC6  kind=static_target
$025786  in func $025786  base $01ABB6  kind=static_target
$0258D2  in func $0258A8  base $01B5CC  kind=static_target
$025ACE  in func $025A9A  base $01B5CC  kind=static_target
$025BA8  in func $025BA8  base $01B5A4  kind=static_target
$025D42  in func $025D42  base $01B67E  kind=static_target
$025EBC  in func $025EBC  base $01B5A4  kind=static_target
$02604E  in func $02604A  base $01B5CC  kind=static_target
$026208  in func $026208  base $01B5A4  kind=static_target
$0262B2  in func $0262B0  base $001380  kind=static_target
$026318  in func $026308  base $01B5A4  kind=static_target
$026476  in func $026458  base $01B5A4  kind=static_target
$026494  in func $026494  base $01B67E  kind=static_target
$0265B8  in func $0265A4  base $01ABC6  kind=static_target
$0265D2  in func $0265BE  base $01ABC6  kind=static_target
$0265F2  in func $0265F2  base $01ABB6  kind=static_target
$0266AA  in func $0266AA  base $01ABC6  kind=static_target
$026B36  in func $026B2E  base $026B3A  kind=fallback_hybrid/offset_table
$026E8C  in func $026E82  base $01B5A4  kind=static_target
$026EA8  in func $026E94  base $01ABC6  kind=static_target
$026ECA  in func $026EBA  base $01ABB6  kind=static_target
$027042  in func $02703C  base $03262C  kind=static_target
$027054  in func $02704A  base $01B5A4  kind=static_target
$0270AC  in func $02708E  base $01B5CC  kind=static_target
$02711C  in func $02711C  base $01B5A4  kind=static_target
$0271F6  in func $0271E2  base $01B5A4  kind=static_target
$02720A  in func $0271FC  base $01B5A4  kind=static_target
$0273F8  in func $0273E4  base $01E4AC  kind=static_target
$02746C  in func $02746C  base $01B5A4  kind=static_target
$0275C2  in func $0275AE  base $01ABC6  kind=static_target
$0275C8  in func $0275C8  base $01ABB6  kind=static_target
$0275FC  in func $0275E8  base $01ABC6  kind=static_target
$0276EE  in func $0276EC  base $001380  kind=static_target
$02778E  in func $027774  base $027794  kind=fallback_hybrid/offset_table
$027894  in func $027866  base $001526  kind=static_target
$0279C2  in func $0279A0  base $001526  kind=static_target
$0279EA  in func $0279C8  base $001526  kind=static_target
$027A32  in func $027A0E  base $001526  kind=static_target
$027A6E  in func $027A48  base $001526  kind=static_target
$02807C  in func $02806E  base $001526  kind=static_target
$028090  in func $028082  base $001526  kind=static_target
$028E8C  in func $028E8C  base $01B5A4  kind=static_target
$029108  in func $0290EA  base $01B5A4  kind=static_target
$02932A  in func $0292F8  base $01B5A4  kind=static_target
$02934E  in func $02934E  base $01B5A4  kind=static_target
$0293E6  in func $0293E6  base $01B5F0  kind=static_target
$02945C  in func $02945C  base $01B5A4  kind=static_target
$02951E  in func $029518  base $01B5F0  kind=static_target
$029586  in func $02955E  base $01B5F0  kind=static_target
$029624  in func $029624  base $01B5F0  kind=static_target
$029632  in func $02962A  base $029636  kind=fallback_hybrid/offset_table
$0299A8  in func $0299A8  base $01B5F0  kind=static_target
$029A0A  in func $029A0A  base $01B5A4  kind=static_target
$029A3A  in func $029A3A  base $01B5A4  kind=static_target
$029A6A  in func $029A6A  base $01B5A4  kind=static_target
$029AD4  in func $029AD4  base $01B5F0  kind=static_target
$029B0E  in func $029B0E  base $01B5A4  kind=static_target
$029B52  in func $029B52  base $01B5F0  kind=static_target
$029C16  in func $029C16  base $01B5F0  kind=static_target
$029C62  in func $029C62  base $01B67E  kind=static_target
$029D80  in func $029D66  base $01B5A4  kind=static_target
$029E02  in func $029DD8  base $01B5A4  kind=static_target
$029E32  in func $029E32  base $01B5A4  kind=static_target
$029E4C  in func $029E3E  base $029E50  kind=fallback_hybrid/offset_table
$02A382  in func $02A382  base $01B5A4  kind=static_target
$02A3C6  in func $02A3B0  base $01B5A4  kind=static_target
$02A558  in func $02A558  base $01B5A4  kind=static_target
$02A628  in func $02A614  base $01ABC6  kind=static_target
$02A62E  in func $02A62E  base $01ABB6  kind=static_target
$02A666  in func $02A634  base $01B5A4  kind=static_target
$02A6A2  in func $02A6A2  base $01B5A4  kind=static_target
$02A72C  in func $02A72C  base $01B5A4  kind=static_target
$02AA8E  in func $02AA72  base $01B5F0  kind=static_target
$02AA94  in func $02AA94  base $01B5A4  kind=static_target
$02ACF0  in func $02AC9E  base $01E4AC  kind=static_target
$02AECA  in func $02AEB4  base $01B5F0  kind=static_target
$02AED0  in func $02AED0  base $01B5A4  kind=static_target
$02AEE0  in func $02AED6  base $01ABC6  kind=static_target
$02AEF2  in func $02AEE6  base $01ABC6  kind=static_target
$02AEF8  in func $02AEF8  base $01ABB6  kind=static_target
$02AF38  in func $02AF22  base $01B5F0  kind=static_target
$02AF50  in func $02AF50  base $01ABC6  kind=static_target
$02AF80  in func $02AF74  base $01ABC6  kind=static_target
$02AF86  in func $02AF86  base $01ABB6  kind=static_target
$02AFB2  in func $02AF98  base $01B5F0  kind=static_target
$02B086  in func $02B078  base $001380  kind=static_target
$02B368  in func $02B34A  base $01ABC6  kind=static_target
$02B396  in func $02B396  base $01ABB6  kind=static_target
$02B39C  in func $02B39C  base $01ABC6  kind=static_target
$02B450  in func $02B446  base $01ABC6  kind=static_target
$02B462  in func $02B456  base $01ABC6  kind=static_target
$02B468  in func $02B468  base $01ABB6  kind=static_target
$02B4AE  in func $02B4AE  base $01ABB6  kind=static_target
$02B55E  in func $02B550  base $001380  kind=static_target
$02B5B8  in func $02B5B2  base $01ABB6  kind=static_target
$02B6B6  in func $02B6B6  base $01B5F0  kind=static_target
$02B720  in func $02B6F4  base $01ABC6  kind=static_target
$02B742  in func $02B742  base $01ABB6  kind=static_target
$02B76E  in func $02B76E  base $01ABC6  kind=static_target
$02B8E4  in func $02B8B2  base $01ABC6  kind=static_target
$02B904  in func $02B904  base $01ABB6  kind=static_target
$02B92C  in func $02B90A  base $01040C  kind=static_target
$02B97E  in func $02B97E  base $01B5A4  kind=static_target
$02BF82  in func $02BF76  base $01B5A4  kind=static_target
$02C286  in func $02C286  base $01B5A4  kind=static_target
$02C2BC  in func $02C28C  base $01B5CC  kind=static_target
$02C2F2  in func $02C2C2  base $01B5CC  kind=static_target
$02C328  in func $02C2F8  base $01B5CC  kind=static_target
$02C35E  in func $02C32E  base $01B5CC  kind=static_target
$02C390  in func $02C364  base $01B5CC  kind=static_target
$02C3C4  in func $02C396  base $01B5CC  kind=static_target
$02C3FE  in func $02C3E6  base $01B5F0  kind=static_target
$02C642  in func $02C642  base $01B5A4  kind=static_target
$02C6AC  in func $02C6AC  base $01B5A4  kind=static_target
$02C734  in func $02C734  base $01ABC6  kind=static_target
$02C79E  in func $02C794  base $02C7A2  kind=fallback_hybrid/offset_table
$02C93A  in func $02C8D4  base $01ABC6  kind=static_target
$02C9E0  in func $02C9E0  base $01ABC6  kind=static_target
$02C9F0  in func $02C9E6  base $01ABC6  kind=static_target
$02C9F6  in func $02C9F6  base $01ABB6  kind=static_target
$02CA52  in func $02CA52  base $01ABC6  kind=static_target
$02CA92  in func $02CA84  base $01ABC6  kind=static_target
$02CAFA  in func $02CAEC  base $01ABC6  kind=static_target
$02CB18  in func $02CB18  base $01ABC6  kind=static_target
$02CB3A  in func $02CB3A  base $01ABC6  kind=static_target
$02CD3C  in func $02CD28  base $01ABC6  kind=static_target
$02CD4C  in func $02CD42  base $01ABB6  kind=static_target
$02CD74  in func $02CD58  base $060046  kind=static_target
$02CD9A  in func $02CD96  base $01ABC6  kind=static_target
$02CDB0  in func $02CDA0  base $01ABC6  kind=static_target
$02CDC0  in func $02CDB6  base $01ABB6  kind=static_target
$02CE42  in func $02CE42  base $01ABC6  kind=static_target
$02CE52  in func $02CE48  base $01ABB6  kind=static_target
$02CFCE  in func $02CFC4  base $02CFD2  kind=fallback_hybrid/offset_table
$02D120  in func $02D120  base $01B5A4  kind=static_target
$02D144  in func $02D144  base $01ABB6  kind=static_target
$02D17A  in func $02D14A  base $01B5A4  kind=static_target
$02D494  in func $02D490  base $001AD2  kind=static_target
$02D5D6  in func $02D5D2  base $01B67E  kind=static_target
$02D5DC  in func $02D5DC  base $01ABB6  kind=static_target
$02D640  in func $02D63C  base $01ABC6  kind=static_target
$02D67C  in func $02D654  base $01ABC6  kind=static_target
$02D6A6  in func $02D6A6  base $01ABC6  kind=static_target
$02D6B6  in func $02D6AC  base $02D6BA  kind=fallback_hybrid/offset_table
$02D6DE  in func $02D6DE  base $01ABB6  kind=static_target
$02D8F8  in func $02D8F8  base $01ABB6  kind=static_target
$02D912  in func $02D8FE  base $01ABB6  kind=static_target
$02D942  in func $02D93C  base $01ABC6  kind=static_target
$02D98C  in func $02D978  base $01ABB6  kind=static_target
$02D9B6  in func $02D9B6  base $01ABC6  kind=static_target
$02D9E2  in func $02D9DA  base $01ABB6  kind=static_target
$02DA02  in func $02D9E8  base $01ABB6  kind=static_target
$02DA2C  in func $02DA2C  base $01ABC6  kind=static_target
$02DAF6  in func $02DAEC  base $02DAFA  kind=fallback_hybrid/offset_table
$02DC72  in func $02DC52  base $001358  kind=static_target
